team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,player_out,wicket_kind,subbed_in,subbed_out,subbed_team,subbed_reason,fielders_name,target_overs,target_runs,current_team_total,source_file,noballs,is_fielder_sub,umpires_call,injury_subbed_in,injury_subbed_out,is_non_boundary
Sunrisers Hyderabad,12,2.0,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,112,1527674.csv,,,,,,
Sunrisers Hyderabad,12,3.0,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,113,1527674.csv,,,,,,
Sunrisers Hyderabad,12,4.0,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,114,1527674.csv,,,,,,
Sunrisers Hyderabad,12,5.0,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,6,0,6,,,,,,,,,,,,,,,,,,120,1527674.csv,,,,,,
Sunrisers Hyderabad,12,6.0,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,6,0,6,,,,,,,,,,,,,,,,,,126,1527674.csv,,,,,,
Sunrisers Hyderabad,13,1.0,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,0,0,0,,,,,,,,,H Klaasen,caught,,,,,PD Salt,,,126,1527674.csv,,,,,,
Sunrisers Hyderabad,13,2.0,0.1,5.6,mandatory,S Arora,R Shepherd,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,126,1527674.csv,,,,,,
Sunrisers Hyderabad,13,3.0,0.1,5.6,mandatory,S Arora,R Shepherd,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,127,1527674.csv,,,,,,
Sunrisers Hyderabad,13,4.0,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,S Arora,1,0,1,,,,,,,,,,,,,,,,,,128,1527674.csv,,,,,,
Sunrisers Hyderabad,13,5.0,0.1,5.6,mandatory,S Arora,R Shepherd,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,134,1527674.csv,,,,,,
Sunrisers Hyderabad,13,6.0,0.1,5.6,mandatory,S Arora,R Shepherd,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,135,1527674.csv,,,,,,
Sunrisers Hyderabad,14,1.0,0.1,5.6,mandatory,S Arora,Suyash Sharma,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,136,1527674.csv,,,,,,
Sunrisers Hyderabad,14,2.0,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,S Arora,1,0,1,,,,,,,,,,,,,,,,,,137,1527674.csv,,,,,,
Sunrisers Hyderabad,14,3.0,0.1,5.6,mandatory,S Arora,Suyash Sharma,Ishan Kishan,0,0,0,,,,,,,,,S Arora,caught,,,,,D Padikkal,,,137,1527674.csv,,,,,,
Sunrisers Hyderabad,14,4.0,0.1,5.6,mandatory,Aniket Verma,Suyash Sharma,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,137,1527674.csv,,,,,,
Sunrisers Hyderabad,14,5.0,0.1,5.6,mandatory,Aniket Verma,Suyash Sharma,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,141,1527674.csv,,,,,,
Sunrisers Hyderabad,14,6.0,0.1,5.6,mandatory,Aniket Verma,Suyash Sharma,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,142,1527674.csv,,,,,,
Sunrisers Hyderabad,15,1.0,0.1,5.6,mandatory,Aniket Verma,Abhinandan Singh,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,142,1527674.csv,,,,,,
Sunrisers Hyderabad,15,2.0,0.1,5.6,mandatory,Aniket Verma,Abhinandan Singh,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,148,1527674.csv,,,,,,
Sunrisers Hyderabad,15,3.0,0.1,5.6,mandatory,Aniket Verma,Abhinandan Singh,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,148,1527674.csv,,,,,,
Sunrisers Hyderabad,15,4.0,0.1,5.6,mandatory,Aniket Verma,Abhinandan Singh,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,149,1527674.csv,,,,,,
Sunrisers Hyderabad,15,5.0,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,Aniket Verma,6,0,6,,,,,,,,,,,,,,,,,,155,1527674.csv,,,,,,
Sunrisers Hyderabad,15,6.0,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,Aniket Verma,0,0,0,,,,,,,,,Ishan Kishan,caught,,,,,PD Salt,,,155,1527674.csv,,,,,,
Sunrisers Hyderabad,16,1.0,0.1,5.6,mandatory,Aniket Verma,R Shepherd,Harsh Dubey,6,0,6,,,,,,,,,,,,,,,,,,161,1527674.csv,,,,,,
Sunrisers Hyderabad,16,2.0,0.1,5.6,mandatory,Aniket Verma,R Shepherd,Harsh Dubey,1,0,1,,,,,,,,,,,,,,,,,,162,1527674.csv,,,,,,
Sunrisers Hyderabad,16,3.0,0.1,5.6,mandatory,Harsh Dubey,R Shepherd,Aniket Verma,1,0,1,,,,,,,,,,,,,,,,,,163,1527674.csv,,,,,,
Sunrisers Hyderabad,16,4.0,0.1,5.6,mandatory,Aniket Verma,R Shepherd,Harsh Dubey,1,0,1,,,,,,,,,,,,,,,,,,164,1527674.csv,,,,,,
Sunrisers Hyderabad,16,5.0,0.1,5.6,mandatory,Harsh Dubey,R Shepherd,Aniket Verma,0,1,1,,,,,,1.0,,,,,,,,,,,,165,1527674.csv,,,,,,
Sunrisers Hyderabad,16,6.0,0.1,5.6,mandatory,Harsh Dubey,R Shepherd,Aniket Verma,2,0,2,,,,,,,,,,,,,,,,,,167,1527674.csv,,,,,,
Sunrisers Hyderabad,16,7.0,0.1,5.6,mandatory,Harsh Dubey,R Shepherd,Aniket Verma,0,0,0,,,,,,,,,Harsh Dubey,caught,,,,,D Padikkal,,,167,1527674.csv,,,,,,
Sunrisers Hyderabad,17,1.0,0.1,5.6,mandatory,Aniket Verma,B Kumar,HV Patel,2,0,2,,,,,,,,,,,,,,,,,,169,1527674.csv,,,,,,
Sunrisers Hyderabad,17,2.0,0.1,5.6,mandatory,Aniket Verma,B Kumar,HV Patel,4,0,4,,,,,,,,,,,,,,,,,,173,1527674.csv,,,,,,
Sunrisers Hyderabad,17,3.0,0.1,5.6,mandatory,Aniket Verma,B Kumar,HV Patel,1,0,1,,,,,,,,,,,,,,,,,,174,1527674.csv,,,,,,
Sunrisers Hyderabad,17,4.0,0.1,5.6,mandatory,HV Patel,B Kumar,Aniket Verma,0,0,0,,,,,,,,,,,,,,,,,,174,1527674.csv,,,,,,
Sunrisers Hyderabad,17,5.0,0.1,5.6,mandatory,HV Patel,B Kumar,Aniket Verma,0,0,0,,,,,,,,,HV Patel,caught,,,,,D Padikkal,,,174,1527674.csv,,,,,,
Sunrisers Hyderabad,17,6.0,0.1,5.6,mandatory,DA Payne,B Kumar,Aniket Verma,1,0,1,,,,,,,,,,,DA Payne,TM Head,Sunrisers Hyderabad,impact_player,,,,175,1527674.csv,,,,,,
Sunrisers Hyderabad,18,1.0,0.1,5.6,mandatory,DA Payne,R Shepherd,Aniket Verma,1,0,1,,,,,,,,,,,,,,,,,,176,1527674.csv,,,,,,
Sunrisers Hyderabad,18,2.0,0.1,5.6,mandatory,Aniket Verma,R Shepherd,DA Payne,6,0,6,,,,,,,,,,,,,,,,,,182,1527674.csv,,,,,,
Sunrisers Hyderabad,18,3.0,0.1,5.6,mandatory,Aniket Verma,R Shepherd,DA Payne,4,0,4,,,,,,,,,,,,,,,,,,186,1527674.csv,,,,,,
Sunrisers Hyderabad,18,4.0,0.1,5.6,mandatory,Aniket Verma,R Shepherd,DA Payne,6,0,6,,,,,,,,,,,,,,,,,,192,1527674.csv,,,,,,
Sunrisers Hyderabad,18,5.0,0.1,5.6,mandatory,Aniket Verma,R Shepherd,DA Payne,0,0,0,,,,,,,,,,,,,,,,,,192,1527674.csv,,,,,,
Sunrisers Hyderabad,18,6.0,0.1,5.6,mandatory,Aniket Verma,R Shepherd,DA Payne,0,0,0,,,,,,,,,Aniket Verma,caught,,,,,V Kohli,,,192,1527674.csv,,,,,,
Sunrisers Hyderabad,19,1.0,0.1,5.6,mandatory,DA Payne,B Kumar,JD Unadkat,2,0,2,,,,,,,,,,,,,,,,,,194,1527674.csv,,,,,,
Sunrisers Hyderabad,19,2.0,0.1,5.6,mandatory,DA Payne,B Kumar,JD Unadkat,2,0,2,,,,,,,,,,,,,,,,,,196,1527674.csv,,,,,,
Sunrisers Hyderabad,19,3.0,0.1,5.6,mandatory,DA Payne,B Kumar,JD Unadkat,0,1,1,,,,,,,1.0,,,,,,,,,,,197,1527674.csv,,,,,,
