team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,wides,batter_runs,extra_runs,total_runs,byes,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,7,1,0.1,5.7,mandatory,TM Head,YS Chahal,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,,,,111
Sunrisers Hyderabad,7,2,0.1,5.7,mandatory,TM Head,YS Chahal,Abhishek Sharma,,1,0,1,,,,,,,,,,,,,,,,,112
Sunrisers Hyderabad,7,3,0.1,5.7,mandatory,Abhishek Sharma,YS Chahal,TM Head,,0,0,0,,,,,,,,,,,,,,,,,112
Sunrisers Hyderabad,7,4,0.1,5.7,mandatory,Abhishek Sharma,YS Chahal,TM Head,,1,0,1,,,,,,,,,,,,,,,,,113
Sunrisers Hyderabad,7,5,0.1,5.7,mandatory,TM Head,YS Chahal,Abhishek Sharma,,1,0,1,,,,,,,,,,,,,,,,,114
Sunrisers Hyderabad,7,6,0.1,5.7,mandatory,Abhishek Sharma,YS Chahal,TM Head,,6,0,6,,,,,,,,,,,,,,,,,120
Sunrisers Hyderabad,8,1,0.1,5.7,mandatory,TM Head,Shashank Singh,Abhishek Sharma,,0,0,0,,,,,,,,TM Head,caught,,,,,XC Bartlett,,,120
Sunrisers Hyderabad,8,2,0.1,5.7,mandatory,Ishan Kishan,Shashank Singh,Abhishek Sharma,,1,0,1,,,,,,,,,,,,,,,,,121
Sunrisers Hyderabad,8,3,0.1,5.7,mandatory,Abhishek Sharma,Shashank Singh,Ishan Kishan,1.0,0,1,1,,,,,,,,,,,,,,,,,122
Sunrisers Hyderabad,8,4,0.1,5.7,mandatory,Abhishek Sharma,Shashank Singh,Ishan Kishan,,0,0,0,,,,,,,,Abhishek Sharma,caught,,,,,Arshdeep Singh,,,122
Sunrisers Hyderabad,8,5,0.1,5.7,mandatory,H Klaasen,Shashank Singh,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,,,,122
Sunrisers Hyderabad,8,6,0.1,5.7,mandatory,H Klaasen,Shashank Singh,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,,,,123
Sunrisers Hyderabad,8,7,0.1,5.7,mandatory,Ishan Kishan,Shashank Singh,H Klaasen,,0,0,0,,,,,,,,,,,,,,,,,123
Sunrisers Hyderabad,9,1,0.1,5.7,mandatory,H Klaasen,YS Chahal,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,,,,123
Sunrisers Hyderabad,9,2,0.1,5.7,mandatory,H Klaasen,YS Chahal,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,,,,124
Sunrisers Hyderabad,9,3,0.1,5.7,mandatory,Ishan Kishan,YS Chahal,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,125
Sunrisers Hyderabad,9,4,0.1,5.7,mandatory,H Klaasen,YS Chahal,Ishan Kishan,1.0,0,1,1,,,,,,,,,,,,,,,,,126
Sunrisers Hyderabad,9,5,0.1,5.7,mandatory,H Klaasen,YS Chahal,Ishan Kishan,1.0,0,1,1,,,,,,,,,,,,,,,,,127
Sunrisers Hyderabad,9,6,0.1,5.7,mandatory,H Klaasen,YS Chahal,Ishan Kishan,,2,0,2,,,,,,,,,,,,,,,,,129
Sunrisers Hyderabad,9,7,0.1,5.7,mandatory,H Klaasen,YS Chahal,Ishan Kishan,1.0,0,1,1,,,,,,,,,,,,,,,,,130
Sunrisers Hyderabad,9,8,0.1,5.7,mandatory,H Klaasen,YS Chahal,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,,,,131
Sunrisers Hyderabad,9,9,0.1,5.7,mandatory,Ishan Kishan,YS Chahal,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,132
Sunrisers Hyderabad,10,1,0.1,5.7,mandatory,Ishan Kishan,Shashank Singh,H Klaasen,,4,0,4,,,,,,,,,,,,,,,,,136
Sunrisers Hyderabad,10,2,0.1,5.7,mandatory,Ishan Kishan,Shashank Singh,H Klaasen,,0,0,0,,,,,,,,,,,,,,,,,136
Sunrisers Hyderabad,10,3,0.1,5.7,mandatory,Ishan Kishan,Shashank Singh,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,137
Sunrisers Hyderabad,10,4,0.1,5.7,mandatory,H Klaasen,Shashank Singh,Ishan Kishan,,4,0,4,,,,,,,,,,,,,,,,,141
Sunrisers Hyderabad,10,5,0.1,5.7,mandatory,H Klaasen,Shashank Singh,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,,,,142
Sunrisers Hyderabad,10,6,0.1,5.7,mandatory,Ishan Kishan,Shashank Singh,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,143
