team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,13,1,0.1,5.6,mandatory,SN Khan,CV Varun,D Brevis,0,0,0,,,,,,,,,,,,,,,,,,,,,121
Chennai Super Kings,13,2,0.1,5.6,mandatory,SN Khan,CV Varun,D Brevis,6,0,6,,,,,,,,,,,,,,,,,,,,,127
Chennai Super Kings,13,3,0.1,5.6,mandatory,SN Khan,CV Varun,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,128
Chennai Super Kings,13,4,0.1,5.6,mandatory,D Brevis,CV Varun,SN Khan,4,0,4,,,,,,,,,,,,,,,,,,,,,132
Chennai Super Kings,13,5,0.1,5.6,mandatory,D Brevis,CV Varun,SN Khan,4,0,4,,,,,,,,,,,,,,,,,,,,,136
Chennai Super Kings,13,6,0.1,5.6,mandatory,D Brevis,CV Varun,SN Khan,0,0,0,,,,,,,,,,,,,,,,,,,,,136
Chennai Super Kings,14,1,0.1,5.6,mandatory,SN Khan,AS Roy,D Brevis,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,137
Chennai Super Kings,14,2,0.1,5.6,mandatory,SN Khan,AS Roy,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,138
Chennai Super Kings,14,3,0.1,5.6,mandatory,D Brevis,AS Roy,SN Khan,0,0,0,,,,,,,,,,,,,,,,,,,,,138
Chennai Super Kings,14,4,0.1,5.6,mandatory,D Brevis,AS Roy,SN Khan,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,139
Chennai Super Kings,14,5,0.1,5.6,mandatory,D Brevis,AS Roy,SN Khan,0,0,0,,,,,,,,,,,,,,,,,,,,,139
Chennai Super Kings,14,6,0.1,5.6,mandatory,D Brevis,AS Roy,SN Khan,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,140
Chennai Super Kings,14,7,0.1,5.6,mandatory,D Brevis,AS Roy,SN Khan,1,0,1,,,,,,,,,,,,,,,,,,,,,141
Chennai Super Kings,14,8,0.1,5.6,mandatory,SN Khan,AS Roy,D Brevis,0,0,0,,,,,,,,,,,,,,,,,,,,,141
Chennai Super Kings,14,9,0.1,5.6,mandatory,SN Khan,AS Roy,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,142
Chennai Super Kings,15,1,0.1,5.6,mandatory,SN Khan,VG Arora,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,143
Chennai Super Kings,15,2,0.1,5.6,mandatory,D Brevis,VG Arora,SN Khan,6,0,6,,,,,,,,,,,,,,,,,,,,,149
Chennai Super Kings,15,3,0.1,5.6,mandatory,D Brevis,VG Arora,SN Khan,1,0,1,,,,,,,,,,,,,,,,,,,,,150
Chennai Super Kings,15,4,0.1,5.6,mandatory,SN Khan,VG Arora,D Brevis,6,0,6,,,,,,,,,,,,,,,,,,,,,156
Chennai Super Kings,15,5,0.1,5.6,mandatory,SN Khan,VG Arora,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,157
Chennai Super Kings,15,6,0.1,5.6,mandatory,D Brevis,VG Arora,SN Khan,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,158
Chennai Super Kings,15,7,0.1,5.6,mandatory,D Brevis,VG Arora,SN Khan,4,0,4,,,,,,,,,,,,,,,,,,,,,162
Chennai Super Kings,16,1,0.1,5.6,mandatory,SN Khan,SP Narine,D Brevis,0,0,0,,,,,,,,SN Khan,bowled,,,,,,,,,,,,162
Chennai Super Kings,16,2,0.1,5.6,mandatory,S Dube,SP Narine,D Brevis,0,2,2,,2.0,,,,,,,,,,,,,,,,,,,164
Chennai Super Kings,16,3,0.1,5.6,mandatory,S Dube,SP Narine,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,165
Chennai Super Kings,16,4,0.1,5.6,mandatory,D Brevis,SP Narine,S Dube,0,0,0,,,,,,,,,,,,,,,,,,,,,165
Chennai Super Kings,16,5,0.1,5.6,mandatory,D Brevis,SP Narine,S Dube,4,0,4,,,,,,,,,,,,,,,,,,,,,169
Chennai Super Kings,16,6,0.1,5.6,mandatory,D Brevis,SP Narine,S Dube,0,0,0,,,,,,,,,,,,,,,,,,,,,169
Chennai Super Kings,17,1,0.1,5.6,mandatory,S Dube,Kartik Tyagi,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,170
Chennai Super Kings,17,2,0.1,5.6,mandatory,D Brevis,Kartik Tyagi,S Dube,0,0,0,,,,,,,,,,,,,,,,,,,,,170
Chennai Super Kings,17,3,0.1,5.6,mandatory,D Brevis,Kartik Tyagi,S Dube,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,171
Chennai Super Kings,17,4,0.1,5.6,mandatory,D Brevis,Kartik Tyagi,S Dube,0,0,0,,,,,,,,D Brevis,caught,,,,,,,,,VG Arora,,,171
Chennai Super Kings,17,5,0.1,5.6,mandatory,J Overton,Kartik Tyagi,S Dube,0,0,0,,,,,,,,,,,,,,,,,,,,,171
Chennai Super Kings,17,6,0.1,5.6,mandatory,J Overton,Kartik Tyagi,S Dube,4,0,4,,,,,,,,,,,,,,,,,,,,,175
Chennai Super Kings,17,7,0.1,5.6,mandatory,J Overton,Kartik Tyagi,S Dube,0,0,0,,,,,,,,,,,,,,,,,,,,,175
Chennai Super Kings,18,1,0.1,5.6,mandatory,S Dube,VG Arora,J Overton,0,0,0,,,,,,,,,,,,,,,,,,,,,175
Chennai Super Kings,18,2,0.1,5.6,mandatory,S Dube,VG Arora,J Overton,0,0,0,,,,,,,,,,,,,,,,,,,,,175
Chennai Super Kings,18,3,0.1,5.6,mandatory,S Dube,VG Arora,J Overton,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,176
Chennai Super Kings,18,4,0.1,5.6,mandatory,S Dube,VG Arora,J Overton,4,0,4,,,,,,,,,,,,,,,,,,,,,180
Chennai Super Kings,18,5,0.1,5.6,mandatory,S Dube,VG Arora,J Overton,0,0,0,,,,,,,,,,,,,,,,,,,,,180
Chennai Super Kings,18,6,0.1,5.6,mandatory,S Dube,VG Arora,J Overton,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,181
Chennai Super Kings,18,7,0.1,5.6,mandatory,S Dube,VG Arora,J Overton,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,182
Chennai Super Kings,18,8,0.1,5.6,mandatory,S Dube,VG Arora,J Overton,1,0,1,,,,,,,,,,,,,,,,,,,,,183
Chennai Super Kings,18,9,0.1,5.6,mandatory,J Overton,VG Arora,S Dube,1,0,1,,,,,,,,,,,,,,,,,,,,,184
Chennai Super Kings,19,1,0.1,5.6,mandatory,J Overton,Kartik Tyagi,S Dube,1,0,1,,,,,,,,,,,,,,,,,,,,,185
Chennai Super Kings,19,2,0.1,5.6,mandatory,S Dube,Kartik Tyagi,J Overton,2,0,2,,,,,,,,,,,,,,,,,,,,,187
Chennai Super Kings,19,3,0.1,5.6,mandatory,S Dube,Kartik Tyagi,J Overton,2,0,2,,,,,,,,,,,,,,,,,,,,,189
Chennai Super Kings,19,4,0.1,5.6,mandatory,S Dube,Kartik Tyagi,J Overton,1,0,1,,,,,,,,,,,,,,,,,,,,,190
Chennai Super Kings,19,5,0.1,5.6,mandatory,J Overton,Kartik Tyagi,S Dube,1,0,1,,,,,,,,,,,,,,,,,,,,,191
Chennai Super Kings,19,6,0.1,5.6,mandatory,S Dube,Kartik Tyagi,J Overton,1,0,1,,,,,,,,,,,,,,,,,,,,,192
Kolkata Knight Riders,0,1,0.1,5.6,mandatory,FH Allen,KK Ahmed,SP Narine,0,1,1,,1.0,,,,,,,,FH Allen,CV Varun,Kolkata Knight Riders,impact_player,,,,,,20.0,193.0,1
Kolkata Knight Riders,0,2,0.1,5.6,mandatory,FH Allen,KK Ahmed,SP Narine,0,1,1,,1.0,,,,,,,,AJ Hosein,A Mhatre,Chennai Super Kings,impact_player,,,,,,20.0,193.0,2
Kolkata Knight Riders,0,3,0.1,5.6,mandatory,SP Narine,KK Ahmed,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,2
Kolkata Knight Riders,0,4,0.1,5.6,mandatory,SP Narine,KK Ahmed,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,2
Kolkata Knight Riders,0,5,0.1,5.6,mandatory,SP Narine,KK Ahmed,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,2
Kolkata Knight Riders,0,6,0.1,5.6,mandatory,SP Narine,KK Ahmed,FH Allen,6,0,6,,,,,,,,,,,,,,,,,,,20.0,193.0,8
Kolkata Knight Riders,0,7,0.1,5.6,mandatory,SP Narine,KK Ahmed,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,8
Kolkata Knight Riders,1,1,0.1,5.6,mandatory,FH Allen,A Kamboj,SP Narine,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,9
Kolkata Knight Riders,1,2,0.1,5.6,mandatory,SP Narine,A Kamboj,FH Allen,4,0,4,,,,,,,,,,,,,,,,,,,20.0,193.0,13
Kolkata Knight Riders,1,3,0.1,5.6,mandatory,SP Narine,A Kamboj,FH Allen,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,14
Kolkata Knight Riders,1,4,0.1,5.6,mandatory,FH Allen,A Kamboj,SP Narine,0,0,0,,,,,,,,FH Allen,caught,,,,,,,,,S Dube,20.0,193.0,14
Kolkata Knight Riders,1,5,0.1,5.6,mandatory,AM Rahane,A Kamboj,SP Narine,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,14
Kolkata Knight Riders,1,6,0.1,5.6,mandatory,AM Rahane,A Kamboj,SP Narine,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,15
Kolkata Knight Riders,2,1,0.1,5.6,mandatory,AM Rahane,KK Ahmed,SP Narine,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,15
Kolkata Knight Riders,2,2,0.1,5.6,mandatory,AM Rahane,KK Ahmed,SP Narine,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,15
Kolkata Knight Riders,2,3,0.1,5.6,mandatory,AM Rahane,KK Ahmed,SP Narine,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,16
Kolkata Knight Riders,2,4,0.1,5.6,mandatory,SP Narine,KK Ahmed,AM Rahane,6,0,6,,,,,,,,,,,,,,,,,,,20.0,193.0,22
Kolkata Knight Riders,2,5,0.1,5.6,mandatory,SP Narine,KK Ahmed,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,22
Kolkata Knight Riders,2,6,0.1,5.6,mandatory,SP Narine,KK Ahmed,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,23
Kolkata Knight Riders,3,1,0.1,5.6,mandatory,SP Narine,A Kamboj,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,23
Kolkata Knight Riders,3,2,0.1,5.6,mandatory,SP Narine,A Kamboj,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,23
Kolkata Knight Riders,3,3,0.1,5.6,mandatory,SP Narine,A Kamboj,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,23
Kolkata Knight Riders,3,4,0.1,5.6,mandatory,SP Narine,A Kamboj,AM Rahane,4,0,4,,,,,,,,,,,,,,,,,,,20.0,193.0,27
Kolkata Knight Riders,3,5,0.1,5.6,mandatory,SP Narine,A Kamboj,AM Rahane,2,0,2,,,,,,,,,,,,,,,,,,,20.0,193.0,29
Kolkata Knight Riders,3,6,0.1,5.6,mandatory,SP Narine,A Kamboj,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,29
Kolkata Knight Riders,4,1,0.1,5.6,mandatory,AM Rahane,KK Ahmed,SP Narine,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,30
Kolkata Knight Riders,4,2,0.1,5.6,mandatory,SP Narine,KK Ahmed,AM Rahane,0,0,0,,,,,,,,SP Narine,caught,,,,,,,,,Gurjapneet Singh,20.0,193.0,30
Kolkata Knight Riders,4,3,0.1,5.6,mandatory,A Raghuvanshi,KK Ahmed,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,30
