team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,byes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,9,1,0.1,5.6,mandatory,D Padikkal,Harpreet Brar,V Kohli,0,0,0,,,,,,,,,,,D Padikkal,caught,,,,,SS Iyer,,,97
Royal Challengers Bengaluru,9,2,0.1,5.6,mandatory,VR Iyer,Harpreet Brar,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,98
Royal Challengers Bengaluru,9,3,0.1,5.6,mandatory,V Kohli,Harpreet Brar,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,99
Royal Challengers Bengaluru,9,4,0.1,5.6,mandatory,VR Iyer,Harpreet Brar,V Kohli,2,0,2,,,,,,,,,,,,,,,,,,,,101
Royal Challengers Bengaluru,9,5,0.1,5.6,mandatory,VR Iyer,Harpreet Brar,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,101
Royal Challengers Bengaluru,9,6,0.1,5.6,mandatory,VR Iyer,Harpreet Brar,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,101
Royal Challengers Bengaluru,10,1,0.1,5.6,mandatory,V Kohli,YS Chahal,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,102
Royal Challengers Bengaluru,10,2,0.1,5.6,mandatory,VR Iyer,YS Chahal,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,102
Royal Challengers Bengaluru,10,3,0.1,5.6,mandatory,VR Iyer,YS Chahal,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,103
Royal Challengers Bengaluru,10,4,0.1,5.6,mandatory,V Kohli,YS Chahal,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,104
