team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,16,5,0.1,5.6,mandatory,R Parag,MA Starc,D Ferreira,0,0,0,,,,,,,,,,R Parag,caught,,,,,AR Patel,,,168
Rajasthan Royals,16,6,0.1,5.6,mandatory,SB Dubey,MA Starc,D Ferreira,0,0,0,,,,,,,,,,,,,,,,,,,168
Rajasthan Royals,16,7,0.1,5.6,mandatory,SB Dubey,MA Starc,D Ferreira,0,1,1,,,,,,1.0,,,,,,,,,,,,,169
Rajasthan Royals,16,8,0.1,5.6,mandatory,SB Dubey,MA Starc,D Ferreira,4,0,4,,,,,,,,,,,,,,,,,,,173
Rajasthan Royals,17,1,0.1,5.6,mandatory,D Ferreira,Kuldeep Yadav,SB Dubey,1,0,1,,,,,,,,,,,,,,,,,,,174
Rajasthan Royals,17,2,0.1,5.6,mandatory,SB Dubey,Kuldeep Yadav,D Ferreira,1,0,1,,,,,,,,,,,,,,,,,,,175
Rajasthan Royals,17,3,0.1,5.6,mandatory,D Ferreira,Kuldeep Yadav,SB Dubey,6,0,6,,,,,,,,,,,,,,,,,,,181
Rajasthan Royals,17,4,0.1,5.6,mandatory,D Ferreira,Kuldeep Yadav,SB Dubey,6,0,6,,,,,,,,,,,,,,,,,,,187
Rajasthan Royals,17,5,0.1,5.6,mandatory,D Ferreira,Kuldeep Yadav,SB Dubey,0,0,0,,,,,,,,,,,,,,,,,,,187
Rajasthan Royals,17,6,0.1,5.6,mandatory,D Ferreira,Kuldeep Yadav,SB Dubey,6,0,6,,,,,,,,,,,,,,,,,,,193
Rajasthan Royals,18,1,0.1,5.6,mandatory,SB Dubey,MA Starc,D Ferreira,1,0,1,,,,,,,,,,,,,,,,,,,194
Rajasthan Royals,18,2,0.1,5.6,mandatory,D Ferreira,MA Starc,SB Dubey,0,1,1,,,,,,1.0,,,,,,,,,,,,,195
Rajasthan Royals,18,3,0.1,5.6,mandatory,D Ferreira,MA Starc,SB Dubey,0,0,0,,,,,,,,,,,,,,,,,,,195
Rajasthan Royals,18,4,0.1,5.6,mandatory,D Ferreira,MA Starc,SB Dubey,1,0,1,,,,,,,,,,,,,,,,,,,196
Rajasthan Royals,18,5,0.1,5.6,mandatory,SB Dubey,MA Starc,D Ferreira,0,1,1,,,,,,,1.0,,,,,,,,,,,,197
Rajasthan Royals,18,6,0.1,5.6,mandatory,D Ferreira,MA Starc,SB Dubey,4,0,4,,,,,,,,,,,,,,,,,,,201
Rajasthan Royals,18,7,0.1,5.6,mandatory,D Ferreira,MA Starc,SB Dubey,6,0,6,,,,,,,,,,,,,,,,,,,207
Rajasthan Royals,19,1,0.1,5.6,mandatory,SB Dubey,T Natarajan,D Ferreira,0,1,1,,,,,,1.0,,,,,,,,,,,,,208
Rajasthan Royals,19,2,0.1,5.6,mandatory,SB Dubey,T Natarajan,D Ferreira,0,0,0,,,,,,,,,,SB Dubey,caught,,,,,Ashutosh Sharma,,,208
Rajasthan Royals,19,3,0.1,5.6,mandatory,JC Archer,T Natarajan,D Ferreira,1,0,1,,,,,,,,,,,,,,,,,,,209
Rajasthan Royals,19,4,0.1,5.6,mandatory,D Ferreira,T Natarajan,JC Archer,4,0,4,,,,,,,,,,,,,,,,,,,213
Rajasthan Royals,19,5,0.1,5.6,mandatory,D Ferreira,T Natarajan,JC Archer,6,0,6,,,,,,,,,,,,,,,,,,,219
Rajasthan Royals,19,6,0.1,5.6,mandatory,D Ferreira,T Natarajan,JC Archer,0,0,0,,,,,,,,,,,,,,,,,,,219
Rajasthan Royals,19,7,0.1,5.6,mandatory,D Ferreira,T Natarajan,JC Archer,6,0,6,,,,,,,,,,,,,,,,,,,225
Delhi Capitals,0,1,0.1,5.6,mandatory,P Nissanka,JC Archer,KL Rahul,0,0,0,,,,,,,,,,,,TU Deshpande,SB Dubey,Rajasthan Royals,impact_player,,20.0,226.0,0
Delhi Capitals,0,2,0.1,5.6,mandatory,P Nissanka,JC Archer,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,0
Delhi Capitals,0,3,0.1,5.6,mandatory,P Nissanka,JC Archer,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,0
Delhi Capitals,0,4,0.1,5.6,mandatory,P Nissanka,JC Archer,KL Rahul,0,1,1,,,,,,1.0,,,,,,,,,,,20.0,226.0,1
Delhi Capitals,0,5,0.1,5.6,mandatory,P Nissanka,JC Archer,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,5
Delhi Capitals,0,6,0.1,5.6,mandatory,P Nissanka,JC Archer,KL Rahul,6,0,6,,,,,,,,,,,,,,,,,20.0,226.0,11
Delhi Capitals,0,7,0.1,5.6,mandatory,P Nissanka,JC Archer,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,11
Delhi Capitals,1,1,0.1,5.6,mandatory,KL Rahul,N Burger,P Nissanka,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,15
Delhi Capitals,1,2,0.1,5.6,mandatory,KL Rahul,N Burger,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,15
Delhi Capitals,1,3,0.1,5.6,mandatory,KL Rahul,N Burger,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,15
Delhi Capitals,1,4,0.1,5.6,mandatory,KL Rahul,N Burger,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,15
Delhi Capitals,1,5,0.1,5.6,mandatory,KL Rahul,N Burger,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,15
Delhi Capitals,1,6,0.1,5.6,mandatory,KL Rahul,N Burger,P Nissanka,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,19
Delhi Capitals,2,1,0.1,5.6,mandatory,P Nissanka,JC Archer,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,23
Delhi Capitals,2,2,0.1,5.6,mandatory,P Nissanka,JC Archer,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,27
Delhi Capitals,2,3,0.1,5.6,mandatory,P Nissanka,JC Archer,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,28
Delhi Capitals,2,4,0.1,5.6,mandatory,KL Rahul,JC Archer,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,28
Delhi Capitals,2,5,0.1,5.6,mandatory,KL Rahul,JC Archer,P Nissanka,6,0,6,,,,,,,,,,,,,,,,,20.0,226.0,34
Delhi Capitals,2,6,0.1,5.6,mandatory,KL Rahul,JC Archer,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,34
Delhi Capitals,3,1,0.1,5.6,mandatory,P Nissanka,N Burger,KL Rahul,6,0,6,,,,,,,,,,,,,,,,,20.0,226.0,40
Delhi Capitals,3,2,0.1,5.6,mandatory,P Nissanka,N Burger,KL Rahul,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,42
Delhi Capitals,3,3,0.1,5.6,mandatory,P Nissanka,N Burger,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,42
Delhi Capitals,3,4,0.1,5.6,mandatory,P Nissanka,N Burger,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,42
Delhi Capitals,3,5,0.1,5.6,mandatory,P Nissanka,N Burger,KL Rahul,6,0,6,,,,,,,,,,,,,,,,,20.0,226.0,48
Delhi Capitals,3,6,0.1,5.6,mandatory,P Nissanka,N Burger,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,49
Delhi Capitals,4,1,0.1,5.6,mandatory,P Nissanka,TU Deshpande,KL Rahul,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,51
Delhi Capitals,4,2,0.1,5.6,mandatory,P Nissanka,TU Deshpande,KL Rahul,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,53
Delhi Capitals,4,3,0.1,5.6,mandatory,P Nissanka,TU Deshpande,KL Rahul,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,55
Delhi Capitals,4,4,0.1,5.6,mandatory,P Nissanka,TU Deshpande,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,59
Delhi Capitals,4,5,0.1,5.6,mandatory,P Nissanka,TU Deshpande,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,59
Delhi Capitals,4,6,0.1,5.6,mandatory,P Nissanka,TU Deshpande,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,59
Delhi Capitals,5,1,0.1,5.6,mandatory,KL Rahul,Brijesh Sharma,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,59
Delhi Capitals,5,2,0.1,5.6,mandatory,KL Rahul,Brijesh Sharma,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,59
Delhi Capitals,5,3,0.1,5.6,mandatory,KL Rahul,Brijesh Sharma,P Nissanka,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,63
Delhi Capitals,5,4,0.1,5.6,mandatory,KL Rahul,Brijesh Sharma,P Nissanka,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,64
Delhi Capitals,5,5,0.1,5.6,mandatory,P Nissanka,Brijesh Sharma,KL Rahul,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,66
Delhi Capitals,5,6,0.1,5.6,mandatory,P Nissanka,Brijesh Sharma,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,70
Delhi Capitals,6,1,0.1,5.6,mandatory,KL Rahul,Ravi Bishnoi,P Nissanka,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,71
Delhi Capitals,6,2,0.1,5.6,mandatory,P Nissanka,Ravi Bishnoi,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,72
Delhi Capitals,6,3,0.1,5.6,mandatory,KL Rahul,Ravi Bishnoi,P Nissanka,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,73
Delhi Capitals,6,4,0.1,5.6,mandatory,P Nissanka,Ravi Bishnoi,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,73
Delhi Capitals,6,5,0.1,5.6,mandatory,P Nissanka,Ravi Bishnoi,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,74
Delhi Capitals,6,6,0.1,5.6,mandatory,KL Rahul,Ravi Bishnoi,P Nissanka,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,78
Delhi Capitals,7,1,0.1,5.6,mandatory,P Nissanka,RA Jadeja,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,79
