team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,noballs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Punjab Kings,3,1,0.1,5.6,mandatory,P Simran Singh,Auqib Nabi,Priyansh Arya,6,1,7,1.0,,,,,,,,,,V Nigam,L Ngidi,Delhi Capitals,concussion_substitute,,,20.0,265.0,63
Punjab Kings,3,2,0.1,5.6,mandatory,P Simran Singh,Auqib Nabi,Priyansh Arya,6,0,6,,,,,,,,,,,,,,,,,20.0,265.0,69
Punjab Kings,3,3,0.1,5.6,mandatory,P Simran Singh,Auqib Nabi,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,20.0,265.0,69
Punjab Kings,3,4,0.1,5.6,mandatory,P Simran Singh,Auqib Nabi,Priyansh Arya,6,0,6,,,,,,,,,,,,,,,,,20.0,265.0,75
Punjab Kings,3,5,0.1,5.6,mandatory,P Simran Singh,Auqib Nabi,Priyansh Arya,0,1,1,,1.0,,,,,,,,,,,,,,,20.0,265.0,76
Punjab Kings,3,6,0.1,5.6,mandatory,P Simran Singh,Auqib Nabi,Priyansh Arya,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,77
Punjab Kings,3,7,0.1,5.6,mandatory,Priyansh Arya,Auqib Nabi,P Simran Singh,6,0,6,,,,,,,,,,,,,,,,,20.0,265.0,83
Punjab Kings,3,8,0.1,5.6,mandatory,Priyansh Arya,Auqib Nabi,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,20.0,265.0,83
Punjab Kings,4,1,0.1,5.6,mandatory,P Simran Singh,T Natarajan,Priyansh Arya,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,84
Punjab Kings,4,2,0.1,5.6,mandatory,Priyansh Arya,T Natarajan,P Simran Singh,0,1,1,,1.0,,,,,,,,,,,,,,,20.0,265.0,85
Punjab Kings,4,3,0.1,5.6,mandatory,Priyansh Arya,T Natarajan,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,20.0,265.0,85
Punjab Kings,4,4,0.1,5.6,mandatory,Priyansh Arya,T Natarajan,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,86
Punjab Kings,4,5,0.1,5.6,mandatory,P Simran Singh,T Natarajan,Priyansh Arya,0,1,1,,1.0,,,,,,,,,,,,,,,20.0,265.0,87
Punjab Kings,4,6,0.1,5.6,mandatory,P Simran Singh,T Natarajan,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,20.0,265.0,87
Punjab Kings,4,7,0.1,5.6,mandatory,P Simran Singh,T Natarajan,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,20.0,265.0,91
Punjab Kings,4,8,0.1,5.6,mandatory,P Simran Singh,T Natarajan,Priyansh Arya,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,92
Punjab Kings,5,1,0.1,5.6,mandatory,P Simran Singh,Mukesh Kumar,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,20.0,265.0,96
Punjab Kings,5,2,0.1,5.6,mandatory,P Simran Singh,Mukesh Kumar,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,20.0,265.0,100
Punjab Kings,5,3,0.1,5.6,mandatory,P Simran Singh,Mukesh Kumar,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,20.0,265.0,104
Punjab Kings,5,4,0.1,5.6,mandatory,P Simran Singh,Mukesh Kumar,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,20.0,265.0,108
Punjab Kings,5,5,0.1,5.6,mandatory,P Simran Singh,Mukesh Kumar,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,20.0,265.0,112
Punjab Kings,5,6,0.1,5.6,mandatory,P Simran Singh,Mukesh Kumar,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,20.0,265.0,116
Punjab Kings,6,1,0.1,5.6,mandatory,Priyansh Arya,AR Patel,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,20.0,265.0,120
Punjab Kings,6,2,0.1,5.6,mandatory,Priyansh Arya,AR Patel,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,121
Punjab Kings,6,3,0.1,5.6,mandatory,P Simran Singh,AR Patel,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,20.0,265.0,125
Punjab Kings,6,4,0.1,5.6,mandatory,P Simran Singh,AR Patel,Priyansh Arya,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,126
Punjab Kings,6,5,0.1,5.6,mandatory,Priyansh Arya,AR Patel,P Simran Singh,0,0,0,,,,,,,,,Priyansh Arya,caught,,,,,Sameer Rizvi,,20.0,265.0,126
Punjab Kings,6,6,0.1,5.6,mandatory,C Connolly,AR Patel,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,127
