team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,noballs,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,15,3,0.1,5.6,mandatory,D Brevis,PJ Cummins,S Dube,,1,0,1,,,,,,,,,,,,,,,,143
Chennai Super Kings,15,4,0.1,5.6,mandatory,S Dube,PJ Cummins,D Brevis,,0,0,0,,,,,,,,,,,,,,,,143
Chennai Super Kings,15,5,0.1,5.6,mandatory,S Dube,PJ Cummins,D Brevis,,0,1,1,,,,,,1.0,,,,,,,,,,144
Chennai Super Kings,15,6,0.1,5.6,mandatory,S Dube,PJ Cummins,D Brevis,,0,0,0,,,,,,,,,,,,,,,,144
Chennai Super Kings,15,7,0.1,5.6,mandatory,S Dube,PJ Cummins,D Brevis,,0,0,0,,,,,,,,,,,,,,,,144
Chennai Super Kings,16,1,0.1,5.6,mandatory,D Brevis,Sakib Hussain,S Dube,,1,0,1,,,,,,,,,,,,,,,,145
Chennai Super Kings,16,2,0.1,5.6,mandatory,S Dube,Sakib Hussain,D Brevis,,0,0,0,,,,,,,,,,,,,,,,145
Chennai Super Kings,16,3,0.1,5.6,mandatory,S Dube,Sakib Hussain,D Brevis,,1,0,1,,,,,,,,,,,,,,,,146
Chennai Super Kings,16,4,0.1,5.6,mandatory,D Brevis,Sakib Hussain,S Dube,,1,0,1,,,,,,,,,,,,,,,,147
Chennai Super Kings,16,5,0.1,5.6,mandatory,S Dube,Sakib Hussain,D Brevis,,4,0,4,,,,,,,,,,,,,,,,151
Chennai Super Kings,16,6,0.1,5.6,mandatory,S Dube,Sakib Hussain,D Brevis,,0,0,0,,,,,,,,,,,,,,,,151
Chennai Super Kings,17,1,0.1,5.6,mandatory,D Brevis,E Malinga,S Dube,,1,0,1,,,,,,,,,,,,,,,,152
Chennai Super Kings,17,2,0.1,5.6,mandatory,S Dube,E Malinga,D Brevis,,1,0,1,,,,,,,,,,,,,,,,153
Chennai Super Kings,17,3,0.1,5.6,mandatory,D Brevis,E Malinga,S Dube,,6,0,6,,,,,,,,,,,,,,,,159
Chennai Super Kings,17,4,0.1,5.6,mandatory,D Brevis,E Malinga,S Dube,,0,0,0,,,,,,,,,,,,,,,,159
