team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Kolkata Knight Riders,14,2,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,RK Singh,1,0,1,,,,,,,,,,,,,,,,,132
Kolkata Knight Riders,14,3,0.1,5.6,mandatory,RK Singh,KH Pandya,A Raghuvanshi,2,0,2,,,,,,,,,,,,,,,,,134
Kolkata Knight Riders,14,4,0.1,5.6,mandatory,RK Singh,KH Pandya,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,135
Kolkata Knight Riders,14,5,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,RK Singh,6,0,6,,,,,,,,,,,,,,,,,141
Kolkata Knight Riders,14,6,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,RK Singh,0,0,0,,,,,,,,,,,,,,,,,141
Kolkata Knight Riders,15,1,0.1,5.6,mandatory,RK Singh,JR Hazlewood,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,,141
Kolkata Knight Riders,15,2,0.1,5.6,mandatory,RK Singh,JR Hazlewood,A Raghuvanshi,0,0,0,,,Royal Challengers Bengaluru,R Pandit,RK Singh,struck down,wicket,,,,,,,,,,141
Kolkata Knight Riders,15,3,0.1,5.6,mandatory,RK Singh,JR Hazlewood,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,142
Kolkata Knight Riders,15,4,0.1,5.6,mandatory,A Raghuvanshi,JR Hazlewood,RK Singh,4,0,4,,,,,,,,,,,,,,,,,146
Kolkata Knight Riders,15,5,0.1,5.6,mandatory,A Raghuvanshi,JR Hazlewood,RK Singh,1,0,1,,,,,,,,,,,,,,,,,147
Kolkata Knight Riders,15,6,0.1,5.6,mandatory,RK Singh,JR Hazlewood,A Raghuvanshi,6,0,6,,,,,,,,,,,,,,,,,153
Kolkata Knight Riders,16,1,0.1,5.6,mandatory,A Raghuvanshi,B Kumar,RK Singh,1,0,1,,,,,,,,,,,,,,,,,154
Kolkata Knight Riders,16,2,0.1,5.6,mandatory,RK Singh,B Kumar,A Raghuvanshi,4,0,4,,,,,,,,,,,,,,,,,158
Kolkata Knight Riders,16,3,0.1,5.6,mandatory,RK Singh,B Kumar,A Raghuvanshi,2,0,2,,,,,,,,,,,,,,,,,160
Kolkata Knight Riders,16,4,0.1,5.6,mandatory,RK Singh,B Kumar,A Raghuvanshi,2,0,2,,,,,,,,,,,,,,,,,162
Kolkata Knight Riders,16,5,0.1,5.6,mandatory,RK Singh,B Kumar,A Raghuvanshi,2,0,2,,,,,,,,,,,,,,,,,164
Kolkata Knight Riders,16,6,0.1,5.6,mandatory,RK Singh,B Kumar,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,165
Kolkata Knight Riders,17,1,0.1,5.6,mandatory,RK Singh,Rasikh Salam,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,166
Kolkata Knight Riders,17,2,0.1,5.6,mandatory,A Raghuvanshi,Rasikh Salam,RK Singh,4,0,4,,,,,,,,,,,,,,,,,170
Kolkata Knight Riders,17,3,0.1,5.6,mandatory,A Raghuvanshi,Rasikh Salam,RK Singh,0,0,0,,,,,,,,,,,,,,,,,170
Kolkata Knight Riders,17,4,0.1,5.6,mandatory,A Raghuvanshi,Rasikh Salam,RK Singh,1,0,1,,,,,,,,,,,,,,,,,171
Kolkata Knight Riders,17,5,0.1,5.6,mandatory,RK Singh,Rasikh Salam,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,172
