team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,0,2,0.1,5.6,mandatory,JG Bethell,Mohammed Siraj,V Kohli,0,0,0,,,,,JG Bethell,Suyash Sharma,Royal Challengers Bengaluru,impact_player,,20.0,206.0,0
Royal Challengers Bengaluru,0,3,0.1,5.6,mandatory,JG Bethell,Mohammed Siraj,V Kohli,1,0,1,,,,,,,,,,20.0,206.0,1
Royal Challengers Bengaluru,0,4,0.1,5.6,mandatory,V Kohli,Mohammed Siraj,JG Bethell,0,0,0,,,,,,,,,,20.0,206.0,1
Royal Challengers Bengaluru,0,5,0.1,5.6,mandatory,V Kohli,Mohammed Siraj,JG Bethell,2,0,2,,,,,,,,,,20.0,206.0,3
Royal Challengers Bengaluru,0,6,0.1,5.6,mandatory,V Kohli,Mohammed Siraj,JG Bethell,1,0,1,,,,,,,,,,20.0,206.0,4
Royal Challengers Bengaluru,0,7,0.1,5.6,mandatory,JG Bethell,Mohammed Siraj,V Kohli,0,1,1,,1.0,,,,,,,,20.0,206.0,5
Royal Challengers Bengaluru,1,1,0.1,5.6,mandatory,JG Bethell,K Rabada,V Kohli,4,0,4,,,,,,,,,,20.0,206.0,9
Royal Challengers Bengaluru,1,2,0.1,5.6,mandatory,JG Bethell,K Rabada,V Kohli,0,0,0,,,,,,,,,,20.0,206.0,9
Royal Challengers Bengaluru,1,3,0.1,5.6,mandatory,JG Bethell,K Rabada,V Kohli,1,0,1,,,,,,,,,,20.0,206.0,10
Royal Challengers Bengaluru,1,4,0.1,5.6,mandatory,V Kohli,K Rabada,JG Bethell,4,0,4,,,,,,,,,,20.0,206.0,14
Royal Challengers Bengaluru,1,5,0.1,5.6,mandatory,V Kohli,K Rabada,JG Bethell,0,0,0,,,,,,,,,,20.0,206.0,14
Royal Challengers Bengaluru,1,6,0.1,5.6,mandatory,V Kohli,K Rabada,JG Bethell,0,1,1,,1.0,,,,,,,,20.0,206.0,15
Royal Challengers Bengaluru,2,1,0.1,5.6,mandatory,V Kohli,Mohammed Siraj,JG Bethell,2,0,2,,,,,,,,,,20.0,206.0,17
Royal Challengers Bengaluru,2,2,0.1,5.6,mandatory,V Kohli,Mohammed Siraj,JG Bethell,1,0,1,,,,,,,,,,20.0,206.0,18
Royal Challengers Bengaluru,2,3,0.1,5.6,mandatory,JG Bethell,Mohammed Siraj,V Kohli,4,0,4,,,,,,,,,,20.0,206.0,22
Royal Challengers Bengaluru,2,4,0.1,5.6,mandatory,JG Bethell,Mohammed Siraj,V Kohli,0,0,0,,,,,,,,,,20.0,206.0,22
Royal Challengers Bengaluru,2,5,0.1,5.6,mandatory,JG Bethell,Mohammed Siraj,V Kohli,4,0,4,,,,,,,,,,20.0,206.0,26
Royal Challengers Bengaluru,2,6,0.1,5.6,mandatory,JG Bethell,Mohammed Siraj,V Kohli,0,0,0,,,JG Bethell,caught,,,,,M Shahrukh Khan,20.0,206.0,26
Royal Challengers Bengaluru,3,1,0.1,5.6,mandatory,V Kohli,K Rabada,D Padikkal,4,0,4,,,,,,,,,,20.0,206.0,30
Royal Challengers Bengaluru,3,2,0.1,5.6,mandatory,V Kohli,K Rabada,D Padikkal,1,0,1,,,,,,,,,,20.0,206.0,31
Royal Challengers Bengaluru,3,3,0.1,5.6,mandatory,D Padikkal,K Rabada,V Kohli,6,0,6,,,,,,,,,,20.0,206.0,37
Royal Challengers Bengaluru,3,4,0.1,5.6,mandatory,D Padikkal,K Rabada,V Kohli,1,0,1,,,,,,,,,,20.0,206.0,38
Royal Challengers Bengaluru,3,5,0.1,5.6,mandatory,V Kohli,K Rabada,D Padikkal,1,0,1,,,,,,,,,,20.0,206.0,39
Royal Challengers Bengaluru,3,6,0.1,5.6,mandatory,D Padikkal,K Rabada,V Kohli,1,0,1,,,,,,,,,,20.0,206.0,40
Royal Challengers Bengaluru,4,1,0.1,5.6,mandatory,D Padikkal,Mohammed Siraj,V Kohli,4,0,4,,,,,,,,,,20.0,206.0,44
Royal Challengers Bengaluru,4,2,0.1,5.6,mandatory,D Padikkal,Mohammed Siraj,V Kohli,0,0,0,,,,,,,,,,20.0,206.0,44
Royal Challengers Bengaluru,4,3,0.1,5.6,mandatory,D Padikkal,Mohammed Siraj,V Kohli,0,0,0,,,,,,,,,,20.0,206.0,44
Royal Challengers Bengaluru,4,4,0.1,5.6,mandatory,D Padikkal,Mohammed Siraj,V Kohli,0,0,0,,,,,,,,,,20.0,206.0,44
Royal Challengers Bengaluru,4,5,0.1,5.6,mandatory,D Padikkal,Mohammed Siraj,V Kohli,0,0,0,,,,,,,,,,20.0,206.0,44
Royal Challengers Bengaluru,4,6,0.1,5.6,mandatory,D Padikkal,Mohammed Siraj,V Kohli,6,0,6,,,,,,,,,,20.0,206.0,50
Royal Challengers Bengaluru,5,1,0.1,5.6,mandatory,V Kohli,JO Holder,D Padikkal,1,0,1,,,,,,,,,,20.0,206.0,51
Royal Challengers Bengaluru,5,2,0.1,5.6,mandatory,D Padikkal,JO Holder,V Kohli,1,0,1,,,,,,,,,,20.0,206.0,52
Royal Challengers Bengaluru,5,3,0.1,5.6,mandatory,V Kohli,JO Holder,D Padikkal,4,0,4,,,,,,,,,,20.0,206.0,56
Royal Challengers Bengaluru,5,4,0.1,5.6,mandatory,V Kohli,JO Holder,D Padikkal,0,0,0,,,,,,,,,,20.0,206.0,56
Royal Challengers Bengaluru,5,5,0.1,5.6,mandatory,V Kohli,JO Holder,D Padikkal,1,0,1,,,,,,,,,,20.0,206.0,57
Royal Challengers Bengaluru,5,6,0.1,5.6,mandatory,D Padikkal,JO Holder,V Kohli,1,0,1,,,,,,,,,,20.0,206.0,58
Royal Challengers Bengaluru,6,1,0.1,5.6,mandatory,D Padikkal,M Prasidh Krishna,V Kohli,1,0,1,,,,,,,,,,20.0,206.0,59
Royal Challengers Bengaluru,6,2,0.1,5.6,mandatory,V Kohli,M Prasidh Krishna,D Padikkal,2,0,2,,,,,,,,,,20.0,206.0,61
Royal Challengers Bengaluru,6,3,0.1,5.6,mandatory,V Kohli,M Prasidh Krishna,D Padikkal,4,0,4,,,,,,,,,,20.0,206.0,65
Royal Challengers Bengaluru,6,4,0.1,5.6,mandatory,V Kohli,M Prasidh Krishna,D Padikkal,4,0,4,,,,,,,,,,20.0,206.0,69
Royal Challengers Bengaluru,6,5,0.1,5.6,mandatory,V Kohli,M Prasidh Krishna,D Padikkal,0,0,0,,,,,,,,,,20.0,206.0,69
Royal Challengers Bengaluru,6,6,0.1,5.6,mandatory,V Kohli,M Prasidh Krishna,D Padikkal,1,0,1,,,,,,,,,,20.0,206.0,70
Royal Challengers Bengaluru,7,1,0.1,5.6,mandatory,V Kohli,Rashid Khan,D Padikkal,0,0,0,,,,,,,,,,20.0,206.0,70
Royal Challengers Bengaluru,7,2,0.1,5.6,mandatory,V Kohli,Rashid Khan,D Padikkal,6,0,6,,,,,,,,,,20.0,206.0,76
Royal Challengers Bengaluru,7,3,0.1,5.6,mandatory,V Kohli,Rashid Khan,D Padikkal,4,0,4,,,,,,,,,,20.0,206.0,80
Royal Challengers Bengaluru,7,4,0.1,5.6,mandatory,V Kohli,Rashid Khan,D Padikkal,1,0,1,,,,,,,,,,20.0,206.0,81
Royal Challengers Bengaluru,7,5,0.1,5.6,mandatory,D Padikkal,Rashid Khan,V Kohli,1,0,1,,,,,,,,,,20.0,206.0,82
Royal Challengers Bengaluru,7,6,0.1,5.6,mandatory,V Kohli,Rashid Khan,D Padikkal,1,0,1,,,,,,,,,,20.0,206.0,83
Royal Challengers Bengaluru,8,1,0.1,5.6,mandatory,V Kohli,M Prasidh Krishna,D Padikkal,1,0,1,,,,,,,,,,20.0,206.0,84
Royal Challengers Bengaluru,8,2,0.1,5.6,mandatory,D Padikkal,M Prasidh Krishna,V Kohli,4,0,4,,,,,,,,,,20.0,206.0,88
Royal Challengers Bengaluru,8,3,0.1,5.6,mandatory,D Padikkal,M Prasidh Krishna,V Kohli,6,0,6,,,,,,,,,,20.0,206.0,94
Royal Challengers Bengaluru,8,4,0.1,5.6,mandatory,D Padikkal,M Prasidh Krishna,V Kohli,1,0,1,,,,,,,,,,20.0,206.0,95
Royal Challengers Bengaluru,8,5,0.1,5.6,mandatory,V Kohli,M Prasidh Krishna,D Padikkal,1,0,1,,,,,,,,,,20.0,206.0,96
Royal Challengers Bengaluru,8,6,0.1,5.6,mandatory,D Padikkal,M Prasidh Krishna,V Kohli,6,0,6,,,,,,,,,,20.0,206.0,102
Royal Challengers Bengaluru,9,1,0.1,5.6,mandatory,V Kohli,Rashid Khan,D Padikkal,1,0,1,,,,,,,,,,20.0,206.0,103
Royal Challengers Bengaluru,9,2,0.1,5.6,mandatory,D Padikkal,Rashid Khan,V Kohli,0,0,0,,,,,,,,,,20.0,206.0,103
Royal Challengers Bengaluru,9,3,0.1,5.6,mandatory,D Padikkal,Rashid Khan,V Kohli,6,0,6,,,,,,,,,,20.0,206.0,109
Royal Challengers Bengaluru,9,4,0.1,5.6,mandatory,D Padikkal,Rashid Khan,V Kohli,0,1,1,1.0,,,,,,,,,20.0,206.0,110
