team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,byes,player_out,wicket_kind,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Lucknow Super Giants,13,6,0.1,5.6,mandatory,MD Choudhary,KH Pandya,A Badoni,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,102
Lucknow Super Giants,14,1,0.1,5.6,mandatory,MD Choudhary,Suyash Sharma,A Badoni,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,103
Lucknow Super Giants,14,2,0.1,5.6,mandatory,A Badoni,Suyash Sharma,MD Choudhary,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,105
Lucknow Super Giants,14,3,0.1,5.6,mandatory,A Badoni,Suyash Sharma,MD Choudhary,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,106
Lucknow Super Giants,14,4,0.1,5.6,mandatory,MD Choudhary,Suyash Sharma,A Badoni,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,110
Lucknow Super Giants,14,5,0.1,5.6,mandatory,MD Choudhary,Suyash Sharma,A Badoni,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,111
Lucknow Super Giants,14,6,0.1,5.6,mandatory,A Badoni,Suyash Sharma,MD Choudhary,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,112
Lucknow Super Giants,15,1,0.1,5.6,mandatory,A Badoni,Rasikh Salam,MD Choudhary,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,116
Lucknow Super Giants,15,2,0.1,5.6,mandatory,A Badoni,Rasikh Salam,MD Choudhary,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,117
Lucknow Super Giants,15,3,0.1,5.6,mandatory,MD Choudhary,Rasikh Salam,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,117
Lucknow Super Giants,15,4,0.1,5.6,mandatory,MD Choudhary,Rasikh Salam,A Badoni,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,118
Lucknow Super Giants,15,5,0.1,5.6,mandatory,A Badoni,Rasikh Salam,MD Choudhary,0,0,0,,,,,,,,,,A Badoni,caught,,,,,,,,,JM Sharma,,,,118
Lucknow Super Giants,15,6,0.1,5.6,mandatory,RR Pant,Rasikh Salam,MD Choudhary,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,118
Lucknow Super Giants,16,1,0.1,5.6,mandatory,MD Choudhary,B Kumar,RR Pant,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,119
Lucknow Super Giants,16,2,0.1,5.6,mandatory,RR Pant,B Kumar,MD Choudhary,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,120
Lucknow Super Giants,16,3,0.1,5.6,mandatory,MD Choudhary,B Kumar,RR Pant,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,122
Lucknow Super Giants,16,4,0.1,5.6,mandatory,MD Choudhary,B Kumar,RR Pant,0,1,1,,1.0,,,,,,,,,,,,,,,,,,,,,,123
Lucknow Super Giants,16,5,0.1,5.6,mandatory,MD Choudhary,B Kumar,RR Pant,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,124
Lucknow Super Giants,16,6,0.1,5.6,mandatory,RR Pant,B Kumar,MD Choudhary,0,0,0,,,,,,,,,,RR Pant,caught,,,,,,,,,PD Salt,,,,124
Lucknow Super Giants,16,7,0.1,5.6,mandatory,GF Linde,B Kumar,MD Choudhary,0,0,0,,,,,,,,,,,,,,,,GF Linde,A Badoni,Lucknow Super Giants,impact_player,,,,,124
Lucknow Super Giants,17,1,0.1,5.6,mandatory,MD Choudhary,JR Hazlewood,GF Linde,0,1,1,,1.0,,,,,,,,,,,,,,,,,,,,,,125
Lucknow Super Giants,17,2,0.1,5.6,mandatory,MD Choudhary,JR Hazlewood,GF Linde,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,127
Lucknow Super Giants,17,3,0.1,5.6,mandatory,MD Choudhary,JR Hazlewood,GF Linde,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,128
Lucknow Super Giants,17,4,0.1,5.6,mandatory,GF Linde,JR Hazlewood,MD Choudhary,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,128
