team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,byes,review_by,review_umpire,review_batter,review_decision,review_type,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,18,4,0.1,5.6,mandatory,Shivang Kumar,Gurjapneet Singh,LS Livingstone,0,1,1,1.0,,,,,,,,,,,,,,,,,,180
Sunrisers Hyderabad,18,5,0.1,5.6,mandatory,Shivang Kumar,Gurjapneet Singh,LS Livingstone,0,0,0,,,,,,,,,,,,,,,,,,,180
Sunrisers Hyderabad,18,6,0.1,5.6,mandatory,Shivang Kumar,Gurjapneet Singh,LS Livingstone,6,0,6,,,,,,,,,,,,,,,,,,,186
Sunrisers Hyderabad,18,7,0.1,5.6,mandatory,Shivang Kumar,Gurjapneet Singh,LS Livingstone,1,0,1,,,,,,,,,,,,,,,,,,,187
Sunrisers Hyderabad,19,1,0.1,5.6,mandatory,Shivang Kumar,A Kamboj,LS Livingstone,1,0,1,,,,,,,,,,,,,,,,,,,188
Sunrisers Hyderabad,19,2,0.1,5.6,mandatory,LS Livingstone,A Kamboj,Shivang Kumar,1,0,1,,,,,,,,,,,,,,,,,,,189
Sunrisers Hyderabad,19,3,0.1,5.6,mandatory,Shivang Kumar,A Kamboj,LS Livingstone,4,0,4,,,,,,,,,,,,,,,,,,,193
Sunrisers Hyderabad,19,4,0.1,5.6,mandatory,Shivang Kumar,A Kamboj,LS Livingstone,0,0,0,,,,,,,,,,Shivang Kumar,caught,,,,,Gurjapneet Singh,,,193
Sunrisers Hyderabad,19,5,0.1,5.6,mandatory,PP Hinge,A Kamboj,LS Livingstone,0,1,1,,,1.0,,,,,,,,,,,,,,,,194
Sunrisers Hyderabad,19,6,0.1,5.6,mandatory,LS Livingstone,A Kamboj,PP Hinge,0,0,0,,,,,,,,,,LS Livingstone,caught,,,,,D Brevis,,,194
Chennai Super Kings,0,1,0.1,5.7,mandatory,SV Samson,PP Hinge,RD Gaikwad,6,0,6,,,,,,,,,,,,,,,,,20.0,195.0,6
Chennai Super Kings,0,2,0.1,5.7,mandatory,SV Samson,PP Hinge,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,20.0,195.0,7
Chennai Super Kings,0,3,0.1,5.7,mandatory,RD Gaikwad,PP Hinge,SV Samson,0,0,0,,,,,,,,,,,,,,,,,20.0,195.0,7
Chennai Super Kings,0,4,0.1,5.7,mandatory,RD Gaikwad,PP Hinge,SV Samson,0,0,0,,,,,,,,,,,,,,,,,20.0,195.0,7
Chennai Super Kings,0,5,0.1,5.7,mandatory,RD Gaikwad,PP Hinge,SV Samson,4,0,4,,,,,,,,,,,,,,,,,20.0,195.0,11
Chennai Super Kings,0,6,0.1,5.7,mandatory,RD Gaikwad,PP Hinge,SV Samson,4,0,4,,,,,,,,,,,,,,,,,20.0,195.0,15
Chennai Super Kings,1,1,0.1,5.7,mandatory,SV Samson,Nithish Kumar Reddy,RD Gaikwad,0,0,0,,,,,,,,,,SV Samson,caught,,,,,H Klaasen,20.0,195.0,15
Chennai Super Kings,1,2,0.1,5.7,mandatory,A Mhatre,Nithish Kumar Reddy,RD Gaikwad,0,0,0,,,,,,,,,,,,A Mhatre,Gurjapneet Singh,Chennai Super Kings,impact_player,,20.0,195.0,15
Chennai Super Kings,1,3,0.1,5.7,mandatory,A Mhatre,Nithish Kumar Reddy,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,20.0,195.0,15
Chennai Super Kings,1,4,0.1,5.7,mandatory,A Mhatre,Nithish Kumar Reddy,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,20.0,195.0,15
Chennai Super Kings,1,5,0.1,5.7,mandatory,A Mhatre,Nithish Kumar Reddy,RD Gaikwad,3,0,3,,,,,,,,,,,,,,,,,20.0,195.0,18
Chennai Super Kings,1,6,0.1,5.7,mandatory,RD Gaikwad,Nithish Kumar Reddy,A Mhatre,0,1,1,1.0,,,,,,,,,,,,,,,,20.0,195.0,19
Chennai Super Kings,1,7,0.1,5.7,mandatory,RD Gaikwad,Nithish Kumar Reddy,A Mhatre,4,0,4,,,,,,,,,,,,,,,,,20.0,195.0,23
Chennai Super Kings,2,1,0.1,5.7,mandatory,A Mhatre,PP Hinge,RD Gaikwad,6,0,6,,,,,,,,,,,,,,,,,20.0,195.0,29
Chennai Super Kings,2,2,0.1,5.7,mandatory,A Mhatre,PP Hinge,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,20.0,195.0,29
Chennai Super Kings,2,3,0.1,5.7,mandatory,A Mhatre,PP Hinge,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,20.0,195.0,33
Chennai Super Kings,2,4,0.1,5.7,mandatory,A Mhatre,PP Hinge,RD Gaikwad,0,1,1,1.0,,,,,,,,,,,,,,,,20.0,195.0,34
Chennai Super Kings,2,5,0.1,5.7,mandatory,A Mhatre,PP Hinge,RD Gaikwad,0,1,1,1.0,,,,,,,,,,,,,,,,20.0,195.0,35
Chennai Super Kings,2,6,0.1,5.7,mandatory,A Mhatre,PP Hinge,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,20.0,195.0,39
Chennai Super Kings,2,7,0.1,5.7,mandatory,A Mhatre,PP Hinge,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,20.0,195.0,43
Chennai Super Kings,2,8,0.1,5.7,mandatory,A Mhatre,PP Hinge,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,20.0,195.0,47
Chennai Super Kings,3,1,0.1,5.7,mandatory,RD Gaikwad,Sakib Hussain,A Mhatre,0,5,5,5.0,,,,,,,,,,,,,,,,20.0,195.0,52
Chennai Super Kings,3,2,0.1,5.7,mandatory,RD Gaikwad,Sakib Hussain,A Mhatre,0,0,0,,,,,,,,,,,,,,,,,20.0,195.0,52
Chennai Super Kings,3,3,0.1,5.7,mandatory,RD Gaikwad,Sakib Hussain,A Mhatre,0,0,0,,,,,,,,,,,,,,,,,20.0,195.0,52
Chennai Super Kings,3,4,0.1,5.7,mandatory,RD Gaikwad,Sakib Hussain,A Mhatre,1,0,1,,,,,,,,,,,,,,,,,20.0,195.0,53
