team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Lucknow Super Giants,12,4,0.1,5.8,mandatory,Shahbaz Ahmed,AJ Hosein,Akshat Raghuwanshi,1,0,1,,,,,,,,,,,,,,,,,,,,132
Lucknow Super Giants,12,5,0.1,5.8,mandatory,Akshat Raghuwanshi,AJ Hosein,Shahbaz Ahmed,1,0,1,,,,,,,,,,,,,,,,,,,,133
Lucknow Super Giants,12,6,0.1,5.8,mandatory,Shahbaz Ahmed,AJ Hosein,Akshat Raghuwanshi,4,0,4,,,,,,,,,,,,,,,,,,,,137
Lucknow Super Giants,13,1,0.1,5.8,mandatory,Akshat Raghuwanshi,Mukesh Choudhary,Shahbaz Ahmed,1,0,1,,,,,,,,,,,,,,,,,,,,138
Lucknow Super Giants,13,2,0.1,5.8,mandatory,Shahbaz Ahmed,Mukesh Choudhary,Akshat Raghuwanshi,1,0,1,,,,,,,,,,,,,,,,,,,,139
Lucknow Super Giants,13,3,0.1,5.8,mandatory,Akshat Raghuwanshi,Mukesh Choudhary,Shahbaz Ahmed,2,0,2,,,,,,,,,,,,,,,,,,,,141
Lucknow Super Giants,13,4,0.1,5.8,mandatory,Akshat Raghuwanshi,Mukesh Choudhary,Shahbaz Ahmed,4,0,4,,,,,,,,,,,,,,,,,,,,145
Lucknow Super Giants,13,5,0.1,5.8,mandatory,Akshat Raghuwanshi,Mukesh Choudhary,Shahbaz Ahmed,1,0,1,,,,,,,,,,,,,,,,,,,,146
Lucknow Super Giants,13,6,0.1,5.8,mandatory,Shahbaz Ahmed,Mukesh Choudhary,Akshat Raghuwanshi,0,0,0,,,,,,,,,,,,,,,,,,,,146
Lucknow Super Giants,14,1,0.1,5.8,mandatory,Akshat Raghuwanshi,J Overton,Shahbaz Ahmed,0,0,0,,,,,,,,,,,,,,,,,,,,146
Lucknow Super Giants,14,2,0.1,5.8,mandatory,Akshat Raghuwanshi,J Overton,Shahbaz Ahmed,0,1,1,1.0,,,,,,,,,,,,,,,,,,,147
Lucknow Super Giants,14,3,0.1,5.8,mandatory,Akshat Raghuwanshi,J Overton,Shahbaz Ahmed,0,0,0,,,,,,,,,,Akshat Raghuwanshi,caught,,,,,Urvil Patel,,,,147
Lucknow Super Giants,14,4,0.1,5.8,mandatory,Himmat Singh,J Overton,Shahbaz Ahmed,0,0,0,,,,,,,,,,,,,,,,,,,,147
Lucknow Super Giants,14,5,0.1,5.8,mandatory,Himmat Singh,J Overton,Shahbaz Ahmed,6,0,6,,,,,,,,,,,,,,,,,,,,153
Lucknow Super Giants,14,6,0.1,5.8,mandatory,Himmat Singh,J Overton,Shahbaz Ahmed,0,1,1,,,1.0,,,,,,,,,,,,,,,,,154
Lucknow Super Giants,14,7,0.1,5.8,mandatory,Shahbaz Ahmed,J Overton,Himmat Singh,0,0,0,,,,,,,,,,,,,,,,,,,,154
Lucknow Super Giants,15,1,0.1,5.8,mandatory,Himmat Singh,Noor Ahmad,Shahbaz Ahmed,0,0,0,,,,,,,,,,,,,,,,,,,,154
Lucknow Super Giants,15,2,0.1,5.8,mandatory,Himmat Singh,Noor Ahmad,Shahbaz Ahmed,3,0,3,,,,,,,,,,,,,,,,,,,,157
Lucknow Super Giants,15,3,0.1,5.8,mandatory,Shahbaz Ahmed,Noor Ahmad,Himmat Singh,1,0,1,,,,,,,,,,,,,,,,,,,,158
Lucknow Super Giants,15,4,0.1,5.8,mandatory,Himmat Singh,Noor Ahmad,Shahbaz Ahmed,0,0,0,,,,,,,,,,,,,,,,,,,,158
Lucknow Super Giants,15,5,0.1,5.8,mandatory,Himmat Singh,Noor Ahmad,Shahbaz Ahmed,1,0,1,,,,,,,,,,,,,,,,,,,,159
Lucknow Super Giants,15,6,0.1,5.8,mandatory,Shahbaz Ahmed,Noor Ahmad,Himmat Singh,0,0,0,,,,Chennai Super Kings,Amit Rana,Shahbaz Ahmed,struck down,wicket,True,,,,,,,,,,,159
