team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,byes,legbyes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,9,3,0.1,5.6,mandatory,H Klaasen,Vijaykumar Vyshak,Ishan Kishan,1,0,1,,,,,,,,,,,,,,114
Sunrisers Hyderabad,9,4,0.1,5.6,mandatory,Ishan Kishan,Vijaykumar Vyshak,H Klaasen,1,0,1,,,,,,,,,,,,,,115
Sunrisers Hyderabad,9,5,0.1,5.6,mandatory,H Klaasen,Vijaykumar Vyshak,Ishan Kishan,2,0,2,,,,,,,,,,,,,,117
Sunrisers Hyderabad,9,6,0.1,5.6,mandatory,H Klaasen,Vijaykumar Vyshak,Ishan Kishan,1,0,1,,,,,,,,,,,,,,118
Sunrisers Hyderabad,10,1,0.1,5.6,mandatory,H Klaasen,YS Chahal,Ishan Kishan,1,0,1,,,,,,,,,,,,,,119
Sunrisers Hyderabad,10,2,0.1,5.6,mandatory,Ishan Kishan,YS Chahal,H Klaasen,1,0,1,,,,,,,,,,,,,,120
Sunrisers Hyderabad,10,3,0.1,5.6,mandatory,H Klaasen,YS Chahal,Ishan Kishan,1,0,1,,,,,,,,,,,,,,121
Sunrisers Hyderabad,10,4,0.1,5.6,mandatory,Ishan Kishan,YS Chahal,H Klaasen,1,0,1,,,,,,,,,,,,,,122
Sunrisers Hyderabad,10,5,0.1,5.6,mandatory,H Klaasen,YS Chahal,Ishan Kishan,0,1,1,,1.0,,,,,,,,,,,,123
Sunrisers Hyderabad,10,6,0.1,5.6,mandatory,Ishan Kishan,YS Chahal,H Klaasen,0,1,1,,1.0,,,,,,,,,,,,124
Sunrisers Hyderabad,11,1,0.1,5.6,mandatory,Ishan Kishan,Vijaykumar Vyshak,H Klaasen,4,0,4,,,,,,,,,,,,,,128
Sunrisers Hyderabad,11,2,0.1,5.6,mandatory,Ishan Kishan,Vijaykumar Vyshak,H Klaasen,2,0,2,,,,,,,,,,,,,,130
Sunrisers Hyderabad,11,3,0.1,5.6,mandatory,Ishan Kishan,Vijaykumar Vyshak,H Klaasen,1,0,1,,,,,,,,,,,,,,131
Sunrisers Hyderabad,11,4,0.1,5.6,mandatory,H Klaasen,Vijaykumar Vyshak,Ishan Kishan,1,0,1,,,,,,,,,,,,,,132
