team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,byes,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,17,5,0.1,5.6,mandatory,B Kumar,Sandeep Sharma,VR Iyer,0,0,0,,,,,,,,,,,,,,,,,,169
Royal Challengers Bengaluru,17,6,0.1,5.6,mandatory,B Kumar,Sandeep Sharma,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,170
Royal Challengers Bengaluru,17,7,0.1,5.6,mandatory,VR Iyer,Sandeep Sharma,B Kumar,1,0,1,,,,,,,,,,,,,,,,,,171
Royal Challengers Bengaluru,18,1,0.1,5.6,mandatory,VR Iyer,Brijesh Sharma,B Kumar,1,0,1,,,,,,,,,,,,,,,,,,172
Royal Challengers Bengaluru,18,2,0.1,5.6,mandatory,B Kumar,Brijesh Sharma,VR Iyer,0,0,0,,,,,,,,,,,,,,,,,,172
Royal Challengers Bengaluru,18,3,0.1,5.6,mandatory,B Kumar,Brijesh Sharma,VR Iyer,4,0,4,,,,,,,,,,,,,,,,,,176
Royal Challengers Bengaluru,18,4,0.1,5.6,mandatory,B Kumar,Brijesh Sharma,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,177
Royal Challengers Bengaluru,18,5,0.1,5.6,mandatory,VR Iyer,Brijesh Sharma,B Kumar,1,0,1,,,,,,,,,,,,,,,,,,178
Royal Challengers Bengaluru,18,6,0.1,5.6,mandatory,B Kumar,Brijesh Sharma,VR Iyer,2,0,2,,,,,,,,,,,,,,,,,,180
Royal Challengers Bengaluru,19,1,0.1,5.6,mandatory,VR Iyer,Sandeep Sharma,B Kumar,4,0,4,,,,,,,,,,,,,,,,,,184
Royal Challengers Bengaluru,19,2,0.1,5.6,mandatory,VR Iyer,Sandeep Sharma,B Kumar,6,0,6,,,,,,,,,,,,,,,,,,190
Royal Challengers Bengaluru,19,3,0.1,5.6,mandatory,VR Iyer,Sandeep Sharma,B Kumar,0,0,0,,,,,,,,,,,,,,,,,,190
Royal Challengers Bengaluru,19,4,0.1,5.6,mandatory,VR Iyer,Sandeep Sharma,B Kumar,2,0,2,,,,,,,,,,,,,,,,,,192
Royal Challengers Bengaluru,19,5,0.1,5.6,mandatory,VR Iyer,Sandeep Sharma,B Kumar,0,1,1,1.0,,,,,,,,,,,,,,,,,193
Royal Challengers Bengaluru,19,6,0.1,5.6,mandatory,VR Iyer,Sandeep Sharma,B Kumar,2,0,2,,,,,,,,,,,,,,,,,,195
Royal Challengers Bengaluru,19,7,0.1,5.6,mandatory,VR Iyer,Sandeep Sharma,B Kumar,6,0,6,,,,,,,,,,,,,,,,,,201
Rajasthan Royals,0,1,0.1,5.6,mandatory,YBK Jaiswal,B Kumar,V Suryavanshi,0,0,0,,,,,,,,,,,V Suryavanshi,Sandeep Sharma,Rajasthan Royals,impact_player,,20.0,202.0,0
Rajasthan Royals,0,2,0.1,5.6,mandatory,YBK Jaiswal,B Kumar,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,1
Rajasthan Royals,0,3,0.1,5.6,mandatory,V Suryavanshi,B Kumar,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,5
Rajasthan Royals,0,4,0.1,5.6,mandatory,V Suryavanshi,B Kumar,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,5
Rajasthan Royals,0,5,0.1,5.6,mandatory,V Suryavanshi,B Kumar,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,5
Rajasthan Royals,0,6,0.1,5.6,mandatory,V Suryavanshi,B Kumar,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,9
Rajasthan Royals,1,1,0.1,5.6,mandatory,YBK Jaiswal,JR Hazlewood,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,15
Rajasthan Royals,1,2,0.1,5.6,mandatory,YBK Jaiswal,JR Hazlewood,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,15
Rajasthan Royals,1,3,0.1,5.6,mandatory,YBK Jaiswal,JR Hazlewood,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,15
Rajasthan Royals,1,4,0.1,5.6,mandatory,YBK Jaiswal,JR Hazlewood,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,15
Rajasthan Royals,1,5,0.1,5.6,mandatory,YBK Jaiswal,JR Hazlewood,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,21
Rajasthan Royals,1,6,0.1,5.6,mandatory,YBK Jaiswal,JR Hazlewood,V Suryavanshi,0,0,0,,,,,,,,,YBK Jaiswal,caught,,,,,JM Sharma,20.0,202.0,21
Rajasthan Royals,2,1,0.1,5.6,mandatory,V Suryavanshi,Abhinandan Singh,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,21
Rajasthan Royals,2,2,0.1,5.6,mandatory,V Suryavanshi,Abhinandan Singh,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,25
Rajasthan Royals,2,3,0.1,5.6,mandatory,V Suryavanshi,Abhinandan Singh,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,29
Rajasthan Royals,2,4,0.1,5.6,mandatory,V Suryavanshi,Abhinandan Singh,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,30
Rajasthan Royals,2,5,0.1,5.6,mandatory,Dhruv Jurel,Abhinandan Singh,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,31
Rajasthan Royals,2,6,0.1,5.6,mandatory,V Suryavanshi,Abhinandan Singh,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,37
Rajasthan Royals,3,1,0.1,5.6,mandatory,Dhruv Jurel,JR Hazlewood,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,37
Rajasthan Royals,3,2,0.1,5.6,mandatory,Dhruv Jurel,JR Hazlewood,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,38
Rajasthan Royals,3,3,0.1,5.6,mandatory,V Suryavanshi,JR Hazlewood,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,42
Rajasthan Royals,3,4,0.1,5.6,mandatory,V Suryavanshi,JR Hazlewood,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,46
Rajasthan Royals,3,5,0.1,5.6,mandatory,V Suryavanshi,JR Hazlewood,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,50
Rajasthan Royals,3,6,0.1,5.6,mandatory,V Suryavanshi,JR Hazlewood,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,56
Rajasthan Royals,4,1,0.1,5.6,mandatory,Dhruv Jurel,B Kumar,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,57
Rajasthan Royals,4,2,0.1,5.6,mandatory,V Suryavanshi,B Kumar,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,63
Rajasthan Royals,4,3,0.1,5.6,mandatory,V Suryavanshi,B Kumar,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,69
Rajasthan Royals,4,4,0.1,5.6,mandatory,V Suryavanshi,B Kumar,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,69
Rajasthan Royals,4,5,0.1,5.6,mandatory,V Suryavanshi,B Kumar,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,69
Rajasthan Royals,4,6,0.1,5.6,mandatory,V Suryavanshi,B Kumar,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,73
Rajasthan Royals,5,1,0.1,5.6,mandatory,Dhruv Jurel,Abhinandan Singh,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,77
Rajasthan Royals,5,2,0.1,5.6,mandatory,Dhruv Jurel,Abhinandan Singh,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,83
Rajasthan Royals,5,3,0.1,5.6,mandatory,Dhruv Jurel,Abhinandan Singh,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,87
Rajasthan Royals,5,4,0.1,5.6,mandatory,Dhruv Jurel,Abhinandan Singh,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,87
Rajasthan Royals,5,5,0.1,5.6,mandatory,Dhruv Jurel,Abhinandan Singh,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,93
Rajasthan Royals,5,6,0.1,5.6,mandatory,Dhruv Jurel,Abhinandan Singh,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,97
Rajasthan Royals,6,1,0.1,5.6,mandatory,V Suryavanshi,KH Pandya,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,98
Rajasthan Royals,6,2,0.1,5.6,mandatory,Dhruv Jurel,KH Pandya,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,102
Rajasthan Royals,6,3,0.1,5.6,mandatory,Dhruv Jurel,KH Pandya,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,103
Rajasthan Royals,6,4,0.1,5.6,mandatory,V Suryavanshi,KH Pandya,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,104
Rajasthan Royals,6,5,0.1,5.6,mandatory,Dhruv Jurel,KH Pandya,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,105
Rajasthan Royals,6,6,0.1,5.6,mandatory,V Suryavanshi,KH Pandya,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,111
