team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,11,3,0.1,5.6,mandatory,P Simran Singh,RA Jadeja,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,,,121
Punjab Kings,11,4,0.1,5.6,mandatory,SS Iyer,RA Jadeja,P Simran Singh,0,4,4,,,,,,,,4.0,,,,,,,,,,,125
Punjab Kings,11,5,0.1,5.6,mandatory,SS Iyer,RA Jadeja,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,126
Punjab Kings,11,6,0.1,5.6,mandatory,P Simran Singh,RA Jadeja,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,,,127
Punjab Kings,12,1,0.1,5.6,mandatory,P Simran Singh,Brijesh Sharma,SS Iyer,2,0,2,,,,,,,,,,,,,,,,,,,129
Punjab Kings,12,2,0.1,5.6,mandatory,P Simran Singh,Brijesh Sharma,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,,,129
Punjab Kings,12,3,0.1,5.6,mandatory,P Simran Singh,Brijesh Sharma,SS Iyer,2,0,2,,,,,,,,,,,,,,,,,,,131
Punjab Kings,12,4,0.1,5.6,mandatory,P Simran Singh,Brijesh Sharma,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,,,132
Punjab Kings,12,5,0.1,5.6,mandatory,SS Iyer,Brijesh Sharma,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,133
Punjab Kings,12,6,0.1,5.6,mandatory,P Simran Singh,Brijesh Sharma,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,,,134
Punjab Kings,13,1,0.1,5.6,mandatory,P Simran Singh,Yash Raj Punja,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,,,135
Punjab Kings,13,2,0.1,5.6,mandatory,SS Iyer,Yash Raj Punja,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,136
Punjab Kings,13,3,0.1,5.6,mandatory,P Simran Singh,Yash Raj Punja,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,,,137
Punjab Kings,13,4,0.1,5.6,mandatory,SS Iyer,Yash Raj Punja,P Simran Singh,6,0,6,,,,,,,,,,,,,,,,,,,143
Punjab Kings,13,5,0.1,5.6,mandatory,SS Iyer,Yash Raj Punja,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,144
Punjab Kings,13,6,0.1,5.6,mandatory,P Simran Singh,Yash Raj Punja,SS Iyer,0,0,0,,,,,,,,,,P Simran Singh,caught,,,,,R Parag,,,144
Punjab Kings,14,1,0.1,5.6,mandatory,SS Iyer,RA Jadeja,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,,145
Punjab Kings,14,2,0.1,5.6,mandatory,MP Stoinis,RA Jadeja,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,,,146
Punjab Kings,14,3,0.1,5.6,mandatory,SS Iyer,RA Jadeja,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,,147
Punjab Kings,14,4,0.1,5.6,mandatory,MP Stoinis,RA Jadeja,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,,,147
Punjab Kings,14,5,0.1,5.6,mandatory,MP Stoinis,RA Jadeja,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,,,148
Punjab Kings,14,6,0.1,5.6,mandatory,SS Iyer,RA Jadeja,MP Stoinis,2,0,2,,,,,,,,,,,,,,,,,,,150
Punjab Kings,15,1,0.1,5.6,mandatory,MP Stoinis,Yash Raj Punja,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,,,151
Punjab Kings,15,2,0.1,5.6,mandatory,SS Iyer,Yash Raj Punja,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,,152
Punjab Kings,15,3,0.1,5.6,mandatory,MP Stoinis,Yash Raj Punja,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,,,153
Punjab Kings,15,4,0.1,5.6,mandatory,SS Iyer,Yash Raj Punja,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,,154
Punjab Kings,15,5,0.1,5.6,mandatory,MP Stoinis,Yash Raj Punja,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,,,154
Punjab Kings,15,6,0.1,5.6,mandatory,MP Stoinis,Yash Raj Punja,SS Iyer,6,0,6,,,,,,,,,,,,,,,,,,,160
Punjab Kings,16,1,0.1,5.6,mandatory,SS Iyer,Brijesh Sharma,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,,161
Punjab Kings,16,2,0.1,5.6,mandatory,MP Stoinis,Brijesh Sharma,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,,,162
Punjab Kings,16,3,0.1,5.6,mandatory,SS Iyer,Brijesh Sharma,MP Stoinis,0,0,0,,,,,,,,,,,,,,,,,,,162
Punjab Kings,16,4,0.1,5.6,mandatory,SS Iyer,Brijesh Sharma,MP Stoinis,0,0,0,,,,,,,,,,,,,,,,,,,162
Punjab Kings,16,5,0.1,5.6,mandatory,SS Iyer,Brijesh Sharma,MP Stoinis,4,0,4,,,,,,,,,,,,,,,,,,,166
Punjab Kings,16,6,0.1,5.6,mandatory,SS Iyer,Brijesh Sharma,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,,167
Punjab Kings,17,1,0.1,5.6,mandatory,SS Iyer,N Burger,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,,168
Punjab Kings,17,2,0.1,5.6,mandatory,MP Stoinis,N Burger,SS Iyer,6,0,6,,,,,,,,,,,,,,,,,,,174
Punjab Kings,17,3,0.1,5.6,mandatory,MP Stoinis,N Burger,SS Iyer,4,0,4,,,,,,,,,,,,,,,,,,,178
Punjab Kings,17,4,0.1,5.6,mandatory,MP Stoinis,N Burger,SS Iyer,2,0,2,,,,,,,,,,,,,,,,,,,180
Punjab Kings,17,5,0.1,5.6,mandatory,MP Stoinis,N Burger,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,,,181
Punjab Kings,17,6,0.1,5.6,mandatory,SS Iyer,N Burger,MP Stoinis,0,0,0,,,,,,,,,,SS Iyer,caught,,,,,Dhruv Jurel,,,181
Punjab Kings,18,1,0.1,5.6,mandatory,MP Stoinis,JC Archer,Suryansh Shedge,6,0,6,,,,,,,,,,,,,,,,,,,187
Punjab Kings,18,2,0.1,5.6,mandatory,MP Stoinis,JC Archer,Suryansh Shedge,6,0,6,,,,,,,,,,,,,,,,,,,193
Punjab Kings,18,3,0.1,5.6,mandatory,MP Stoinis,JC Archer,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,,194
Punjab Kings,18,4,0.1,5.6,mandatory,Suryansh Shedge,JC Archer,MP Stoinis,2,0,2,,,,,,,,,,,,,,,,,,,196
Punjab Kings,18,5,0.1,5.6,mandatory,Suryansh Shedge,JC Archer,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,,197
Punjab Kings,18,6,0.1,5.6,mandatory,MP Stoinis,JC Archer,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,,198
Punjab Kings,19,1,0.1,5.6,mandatory,MP Stoinis,Brijesh Sharma,Suryansh Shedge,0,0,0,,,,,,,,,,,,,,,,,,,198
Punjab Kings,19,2,0.1,5.6,mandatory,MP Stoinis,Brijesh Sharma,Suryansh Shedge,4,0,4,,,,,,,,,,,,,,,,,,,202
Punjab Kings,19,3,0.1,5.6,mandatory,MP Stoinis,Brijesh Sharma,Suryansh Shedge,6,0,6,,,,,,,,,,,,,,,,,,,208
