team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,noballs,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,13,7,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,171
Sunrisers Hyderabad,14,1,0.1,5.6,mandatory,Ishan Kishan,B Kumar,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,,175
Sunrisers Hyderabad,14,2,0.1,5.6,mandatory,Ishan Kishan,B Kumar,H Klaasen,0,1,1,1.0,,,,,,,,,,,,,,,,,,176
Sunrisers Hyderabad,14,3,0.1,5.6,mandatory,Ishan Kishan,B Kumar,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,177
Sunrisers Hyderabad,14,4,0.1,5.6,mandatory,H Klaasen,B Kumar,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,,177
Sunrisers Hyderabad,14,5,0.1,5.6,mandatory,H Klaasen,B Kumar,Ishan Kishan,2,0,2,,,,,,,,,,,,,,,,,,,179
Sunrisers Hyderabad,14,6,0.1,5.6,mandatory,H Klaasen,B Kumar,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,,183
Sunrisers Hyderabad,14,7,0.1,5.6,mandatory,H Klaasen,B Kumar,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,,189
Sunrisers Hyderabad,15,1,0.1,5.6,mandatory,Ishan Kishan,Rasikh Salam,H Klaasen,6,0,6,,,,,,,,,,,,,,,,,,,195
Sunrisers Hyderabad,15,2,0.1,5.6,mandatory,Ishan Kishan,Rasikh Salam,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,,199
Sunrisers Hyderabad,15,3,0.1,5.6,mandatory,Ishan Kishan,Rasikh Salam,H Klaasen,0,1,1,1.0,,,,,,,,,,,,,,,,,,200
