team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,byes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Delhi Capitals,2,3,0.1,5.6,mandatory,N Rana,Mohammed Shami,P Nissanka,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,14
Delhi Capitals,2,4,0.1,5.6,mandatory,N Rana,Mohammed Shami,P Nissanka,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,14
Delhi Capitals,2,5,0.1,5.6,mandatory,N Rana,Mohammed Shami,P Nissanka,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,14
Delhi Capitals,2,6,0.1,5.6,mandatory,N Rana,Mohammed Shami,P Nissanka,6,0,6,,,,,,,,,,,,,,,,20.0,142.0,20
Delhi Capitals,2,7,0.1,5.6,mandatory,N Rana,Mohammed Shami,P Nissanka,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,20
Delhi Capitals,3,1,0.1,5.6,mandatory,P Nissanka,Mohsin Khan,N Rana,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,20
Delhi Capitals,3,2,0.1,5.6,mandatory,P Nissanka,Mohsin Khan,N Rana,0,1,1,,1.0,,,,,,,,,,,,,,20.0,142.0,21
Delhi Capitals,3,3,0.1,5.6,mandatory,N Rana,Mohsin Khan,P Nissanka,0,0,0,,,,,,,,,N Rana,caught,,,,,Abdul Samad,20.0,142.0,21
Delhi Capitals,3,4,0.1,5.6,mandatory,Sameer Rizvi,Mohsin Khan,P Nissanka,0,2,2,,2.0,,,,,,,,,Sameer Rizvi,T Natarajan,Delhi Capitals,impact_player,,20.0,142.0,23
Delhi Capitals,3,5,0.1,5.6,mandatory,Sameer Rizvi,Mohsin Khan,P Nissanka,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,23
Delhi Capitals,3,6,0.1,5.6,mandatory,Sameer Rizvi,Mohsin Khan,P Nissanka,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,23
Delhi Capitals,4,1,0.1,5.6,mandatory,P Nissanka,Prince Yadav,Sameer Rizvi,0,1,1,1.0,,,,,,,,,,,,,,,20.0,142.0,24
Delhi Capitals,4,2,0.1,5.6,mandatory,P Nissanka,Prince Yadav,Sameer Rizvi,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,24
Delhi Capitals,4,3,0.1,5.6,mandatory,P Nissanka,Prince Yadav,Sameer Rizvi,0,1,1,1.0,,,,,,,,,,,,,,,20.0,142.0,25
Delhi Capitals,4,4,0.1,5.6,mandatory,P Nissanka,Prince Yadav,Sameer Rizvi,0,0,0,,,,,,,,,P Nissanka,caught,,,,,RR Pant,20.0,142.0,25
Delhi Capitals,4,5,0.1,5.6,mandatory,AR Patel,Prince Yadav,Sameer Rizvi,0,1,1,1.0,,,,,,,,,,,,,,,20.0,142.0,26
Delhi Capitals,4,6,0.1,5.6,mandatory,AR Patel,Prince Yadav,Sameer Rizvi,0,0,0,,,,,,,,,AR Patel,bowled,,,,,,20.0,142.0,26
Delhi Capitals,4,7,0.1,5.6,mandatory,T Stubbs,Prince Yadav,Sameer Rizvi,4,0,4,,,,,,,,,,,,,,,,20.0,142.0,30
Delhi Capitals,4,8,0.1,5.6,mandatory,T Stubbs,Prince Yadav,Sameer Rizvi,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,30
Delhi Capitals,4,9,0.1,5.6,mandatory,T Stubbs,Prince Yadav,Sameer Rizvi,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,30
Delhi Capitals,5,1,0.1,5.6,mandatory,Sameer Rizvi,Mohsin Khan,T Stubbs,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,30
Delhi Capitals,5,2,0.1,5.6,mandatory,Sameer Rizvi,Mohsin Khan,T Stubbs,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,30
Delhi Capitals,5,3,0.1,5.6,mandatory,Sameer Rizvi,Mohsin Khan,T Stubbs,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,30
Delhi Capitals,5,4,0.1,5.6,mandatory,Sameer Rizvi,Mohsin Khan,T Stubbs,0,1,1,,1.0,,,,,,,,,,,,,,20.0,142.0,31
Delhi Capitals,5,5,0.1,5.6,mandatory,T Stubbs,Mohsin Khan,Sameer Rizvi,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,31
Delhi Capitals,5,6,0.1,5.6,mandatory,T Stubbs,Mohsin Khan,Sameer Rizvi,2,0,2,,,,,,,,,,,,,,,,20.0,142.0,33
Delhi Capitals,6,1,0.1,5.6,mandatory,Sameer Rizvi,Mohammed Shami,T Stubbs,0,0,0,,,,Lucknow Super Giants,UV Gandhe,Sameer Rizvi,struck down,wicket,,,,,,,,20.0,142.0,33
Delhi Capitals,6,2,0.1,5.6,mandatory,Sameer Rizvi,Mohammed Shami,T Stubbs,1,0,1,,,,,,,,,,,,,,,,20.0,142.0,34
Delhi Capitals,6,3,0.1,5.6,mandatory,T Stubbs,Mohammed Shami,Sameer Rizvi,1,0,1,,,,,,,,,,,,,,,,20.0,142.0,35
Delhi Capitals,6,4,0.1,5.6,mandatory,Sameer Rizvi,Mohammed Shami,T Stubbs,1,0,1,,,,,,,,,,,,,,,,20.0,142.0,36
Delhi Capitals,6,5,0.1,5.6,mandatory,T Stubbs,Mohammed Shami,Sameer Rizvi,1,0,1,,,,,,,,,,,,,,,,20.0,142.0,37
Delhi Capitals,6,6,0.1,5.6,mandatory,Sameer Rizvi,Mohammed Shami,T Stubbs,0,1,1,1.0,,,,,,,,,,,,,,,20.0,142.0,38
Delhi Capitals,6,7,0.1,5.6,mandatory,Sameer Rizvi,Mohammed Shami,T Stubbs,2,0,2,,,,,,,,,,,,,,,,20.0,142.0,40
Delhi Capitals,7,1,0.1,5.6,mandatory,T Stubbs,A Nortje,Sameer Rizvi,1,0,1,,,,,,,,,,,,,,,,20.0,142.0,41
Delhi Capitals,7,2,0.1,5.6,mandatory,Sameer Rizvi,A Nortje,T Stubbs,0,0,0,,,,,,,,,,,,,,,,20.0,142.0,41
Delhi Capitals,7,3,0.1,5.6,mandatory,Sameer Rizvi,A Nortje,T Stubbs,0,1,1,1.0,,,,,,,,,,,,,,,20.0,142.0,42
Delhi Capitals,7,4,0.1,5.6,mandatory,Sameer Rizvi,A Nortje,T Stubbs,1,0,1,,,,,,,,,,,,,,,,20.0,142.0,43
Delhi Capitals,7,5,0.1,5.6,mandatory,T Stubbs,A Nortje,Sameer Rizvi,2,0,2,,,,,,,,,,,,,,,,20.0,142.0,45
Delhi Capitals,7,6,0.1,5.6,mandatory,T Stubbs,A Nortje,Sameer Rizvi,1,0,1,,,,,,,,,,,,,,,,20.0,142.0,46
