team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,byes,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Mumbai Indians,15,3,0.1,5.6,mandatory,HH Pandya,Noor Ahmad,Naman Dhir,0,0,0,,,,,,,,,,,,,,122
Mumbai Indians,15,4,0.1,5.6,mandatory,HH Pandya,Noor Ahmad,Naman Dhir,1,0,1,,,,,,,,,,,,,,123
Mumbai Indians,15,5,0.1,5.6,mandatory,Naman Dhir,Noor Ahmad,HH Pandya,1,0,1,,,,,,,,,,,,,,124
Mumbai Indians,15,6,0.1,5.6,mandatory,HH Pandya,Noor Ahmad,Naman Dhir,0,0,0,,,,,,,,,,,,,,124
Mumbai Indians,16,1,0.1,5.6,mandatory,Naman Dhir,J Overton,HH Pandya,2,0,2,,,,,,,,,,,,,,126
Mumbai Indians,16,2,0.1,5.6,mandatory,Naman Dhir,J Overton,HH Pandya,1,0,1,,,,,,,,,,,,,,127
Mumbai Indians,16,3,0.1,5.6,mandatory,HH Pandya,J Overton,Naman Dhir,1,0,1,,,,,,,,,,,,,,128
Mumbai Indians,16,4,0.1,5.6,mandatory,Naman Dhir,J Overton,HH Pandya,6,0,6,,,,,,,,,,,,,,134
Mumbai Indians,16,5,0.1,5.6,mandatory,Naman Dhir,J Overton,HH Pandya,0,0,0,,,,Naman Dhir,caught,,,,,SN Khan,True,,,134
Mumbai Indians,16,6,0.1,5.6,mandatory,R Minz,J Overton,HH Pandya,1,0,1,,,,,,,,,,,,,,135
Mumbai Indians,17,1,0.1,5.6,mandatory,R Minz,A Kamboj,HH Pandya,4,0,4,,,,,,,,,,,,,,139
Mumbai Indians,17,2,0.1,5.6,mandatory,R Minz,A Kamboj,HH Pandya,0,0,0,,,,R Minz,bowled,,,,,,,,,139
Mumbai Indians,17,3,0.1,5.6,mandatory,Krish Bhagat,A Kamboj,HH Pandya,0,0,0,,,,,,,,,,,,,,139
Mumbai Indians,17,4,0.1,5.6,mandatory,Krish Bhagat,A Kamboj,HH Pandya,1,0,1,,,,,,,,,,,,,,140
Mumbai Indians,17,5,0.1,5.6,mandatory,HH Pandya,A Kamboj,Krish Bhagat,1,0,1,,,,,,,,,,,,,,141
Mumbai Indians,17,6,0.1,5.6,mandatory,Krish Bhagat,A Kamboj,HH Pandya,1,0,1,,,,,,,,,,,,,,142
Mumbai Indians,18,1,0.1,5.6,mandatory,Krish Bhagat,J Overton,HH Pandya,0,0,0,,,,,,,,,,,,,,142
Mumbai Indians,18,2,0.1,5.6,mandatory,Krish Bhagat,J Overton,HH Pandya,1,0,1,,,,,,,,,,,,,,143
Mumbai Indians,18,3,0.1,5.6,mandatory,HH Pandya,J Overton,Krish Bhagat,0,0,0,,,,,,,,,,,,,,143
Mumbai Indians,18,4,0.1,5.6,mandatory,HH Pandya,J Overton,Krish Bhagat,0,0,0,,,,,,,,,,,,,,143
Mumbai Indians,18,5,0.1,5.6,mandatory,HH Pandya,J Overton,Krish Bhagat,2,0,2,,,,,,,,,,,,,,145
Mumbai Indians,18,6,0.1,5.6,mandatory,HH Pandya,J Overton,Krish Bhagat,1,0,1,,,,,,,,,,,,,,146
Mumbai Indians,19,1,0.1,5.6,mandatory,HH Pandya,A Kamboj,Krish Bhagat,4,0,4,,,,,,,,,,,,,,150
Mumbai Indians,19,2,0.1,5.6,mandatory,HH Pandya,A Kamboj,Krish Bhagat,0,1,1,,,1.0,,,,,,,,,,,151
Mumbai Indians,19,3,0.1,5.6,mandatory,HH Pandya,A Kamboj,Krish Bhagat,0,0,0,,,,,,,,,,,,,,151
Mumbai Indians,19,4,0.1,5.6,mandatory,HH Pandya,A Kamboj,Krish Bhagat,0,0,0,,,,HH Pandya,caught,,,,,D Brevis,,,,151
Mumbai Indians,19,5,0.1,5.6,mandatory,TA Boult,A Kamboj,Krish Bhagat,6,0,6,,,,,,,,,,,,,,157
Mumbai Indians,19,6,0.1,5.6,mandatory,TA Boult,A Kamboj,Krish Bhagat,1,0,1,,,,,,,,,,,,,,158
Mumbai Indians,19,7,0.1,5.6,mandatory,Krish Bhagat,A Kamboj,TA Boult,0,1,1,,1.0,,,,,,,,,,,,159
Chennai Super Kings,0,1,0.1,5.6,mandatory,SV Samson,TA Boult,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,1
Chennai Super Kings,0,2,0.1,5.6,mandatory,RD Gaikwad,TA Boult,SV Samson,0,0,0,,,,,,,,,,,,20.0,160.0,1
