team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,10,3,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,89
Sunrisers Hyderabad,10,4,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,90
Sunrisers Hyderabad,10,5,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,91
Sunrisers Hyderabad,10,6,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,92
Sunrisers Hyderabad,11,1,0.1,5.6,mandatory,H Klaasen,Suyash Sharma,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,93
Sunrisers Hyderabad,11,2,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,97
Sunrisers Hyderabad,11,3,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,101
Sunrisers Hyderabad,11,4,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,101
Sunrisers Hyderabad,11,5,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,101
Sunrisers Hyderabad,11,6,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,105
Sunrisers Hyderabad,12,1,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,111
Sunrisers Hyderabad,12,2,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,112
Sunrisers Hyderabad,12,3,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,113
Sunrisers Hyderabad,12,4,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,114
Sunrisers Hyderabad,12,5,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,6,0,6,,,,,,,,,,,,,,,,,,120
Sunrisers Hyderabad,12,6,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,6,0,6,,,,,,,,,,,,,,,,,,126
Sunrisers Hyderabad,13,1,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,0,0,0,,,,,,,,,H Klaasen,caught,,,,,PD Salt,,,126
Sunrisers Hyderabad,13,2,0.1,5.6,mandatory,S Arora,R Shepherd,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,126
Sunrisers Hyderabad,13,3,0.1,5.6,mandatory,S Arora,R Shepherd,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,127
Sunrisers Hyderabad,13,4,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,S Arora,1,0,1,,,,,,,,,,,,,,,,,,128
Sunrisers Hyderabad,13,5,0.1,5.6,mandatory,S Arora,R Shepherd,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,134
Sunrisers Hyderabad,13,6,0.1,5.6,mandatory,S Arora,R Shepherd,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,135
Sunrisers Hyderabad,14,1,0.1,5.6,mandatory,S Arora,Suyash Sharma,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,136
Sunrisers Hyderabad,14,2,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,S Arora,1,0,1,,,,,,,,,,,,,,,,,,137
Sunrisers Hyderabad,14,3,0.1,5.6,mandatory,S Arora,Suyash Sharma,Ishan Kishan,0,0,0,,,,,,,,,S Arora,caught,,,,,D Padikkal,,,137
Sunrisers Hyderabad,14,4,0.1,5.6,mandatory,Aniket Verma,Suyash Sharma,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,137
Sunrisers Hyderabad,14,5,0.1,5.6,mandatory,Aniket Verma,Suyash Sharma,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,141
Sunrisers Hyderabad,14,6,0.1,5.6,mandatory,Aniket Verma,Suyash Sharma,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,142
Sunrisers Hyderabad,15,1,0.1,5.6,mandatory,Aniket Verma,Abhinandan Singh,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,142
Sunrisers Hyderabad,15,2,0.1,5.6,mandatory,Aniket Verma,Abhinandan Singh,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,148
Sunrisers Hyderabad,15,3,0.1,5.6,mandatory,Aniket Verma,Abhinandan Singh,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,148
Sunrisers Hyderabad,15,4,0.1,5.6,mandatory,Aniket Verma,Abhinandan Singh,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,149
Sunrisers Hyderabad,15,5,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,Aniket Verma,6,0,6,,,,,,,,,,,,,,,,,,155
