team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,15,6,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,Aniket Verma,0,0,0,,,,,,,,,Ishan Kishan,caught,,,,,PD Salt,,,155
Sunrisers Hyderabad,16,1,0.1,5.6,mandatory,Aniket Verma,R Shepherd,Harsh Dubey,6,0,6,,,,,,,,,,,,,,,,,,161
Sunrisers Hyderabad,16,2,0.1,5.6,mandatory,Aniket Verma,R Shepherd,Harsh Dubey,1,0,1,,,,,,,,,,,,,,,,,,162
Sunrisers Hyderabad,16,3,0.1,5.6,mandatory,Harsh Dubey,R Shepherd,Aniket Verma,1,0,1,,,,,,,,,,,,,,,,,,163
Sunrisers Hyderabad,16,4,0.1,5.6,mandatory,Aniket Verma,R Shepherd,Harsh Dubey,1,0,1,,,,,,,,,,,,,,,,,,164
Sunrisers Hyderabad,16,5,0.1,5.6,mandatory,Harsh Dubey,R Shepherd,Aniket Verma,0,1,1,,,,,,1.0,,,,,,,,,,,,165
Sunrisers Hyderabad,16,6,0.1,5.6,mandatory,Harsh Dubey,R Shepherd,Aniket Verma,2,0,2,,,,,,,,,,,,,,,,,,167
Sunrisers Hyderabad,16,7,0.1,5.6,mandatory,Harsh Dubey,R Shepherd,Aniket Verma,0,0,0,,,,,,,,,Harsh Dubey,caught,,,,,D Padikkal,,,167
Sunrisers Hyderabad,17,1,0.1,5.6,mandatory,Aniket Verma,B Kumar,HV Patel,2,0,2,,,,,,,,,,,,,,,,,,169
Sunrisers Hyderabad,17,2,0.1,5.6,mandatory,Aniket Verma,B Kumar,HV Patel,4,0,4,,,,,,,,,,,,,,,,,,173
Sunrisers Hyderabad,17,3,0.1,5.6,mandatory,Aniket Verma,B Kumar,HV Patel,1,0,1,,,,,,,,,,,,,,,,,,174
Sunrisers Hyderabad,17,4,0.1,5.6,mandatory,HV Patel,B Kumar,Aniket Verma,0,0,0,,,,,,,,,,,,,,,,,,174
Sunrisers Hyderabad,17,5,0.1,5.6,mandatory,HV Patel,B Kumar,Aniket Verma,0,0,0,,,,,,,,,HV Patel,caught,,,,,D Padikkal,,,174
Sunrisers Hyderabad,17,6,0.1,5.6,mandatory,DA Payne,B Kumar,Aniket Verma,1,0,1,,,,,,,,,,,DA Payne,TM Head,Sunrisers Hyderabad,impact_player,,,,175
Sunrisers Hyderabad,18,1,0.1,5.6,mandatory,DA Payne,R Shepherd,Aniket Verma,1,0,1,,,,,,,,,,,,,,,,,,176
Sunrisers Hyderabad,18,2,0.1,5.6,mandatory,Aniket Verma,R Shepherd,DA Payne,6,0,6,,,,,,,,,,,,,,,,,,182
Sunrisers Hyderabad,18,3,0.1,5.6,mandatory,Aniket Verma,R Shepherd,DA Payne,4,0,4,,,,,,,,,,,,,,,,,,186
Sunrisers Hyderabad,18,4,0.1,5.6,mandatory,Aniket Verma,R Shepherd,DA Payne,6,0,6,,,,,,,,,,,,,,,,,,192
Sunrisers Hyderabad,18,5,0.1,5.6,mandatory,Aniket Verma,R Shepherd,DA Payne,0,0,0,,,,,,,,,,,,,,,,,,192
Sunrisers Hyderabad,18,6,0.1,5.6,mandatory,Aniket Verma,R Shepherd,DA Payne,0,0,0,,,,,,,,,Aniket Verma,caught,,,,,V Kohli,,,192
Sunrisers Hyderabad,19,1,0.1,5.6,mandatory,DA Payne,B Kumar,JD Unadkat,2,0,2,,,,,,,,,,,,,,,,,,194
Sunrisers Hyderabad,19,2,0.1,5.6,mandatory,DA Payne,B Kumar,JD Unadkat,2,0,2,,,,,,,,,,,,,,,,,,196
