team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,7,6,0.1,5.7,mandatory,Dhruv Jurel,M Tiwari,R Parag,1,0,1,,,,,,,,,,,,,,,,,,91
Rajasthan Royals,7,7,0.1,5.7,mandatory,R Parag,M Tiwari,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,92
Rajasthan Royals,8,1,0.1,5.7,mandatory,R Parag,AR Patel,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,92
Rajasthan Royals,8,2,0.1,5.7,mandatory,R Parag,AR Patel,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,92
Rajasthan Royals,8,3,0.1,5.7,mandatory,R Parag,AR Patel,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,,96
Rajasthan Royals,8,4,0.1,5.7,mandatory,R Parag,AR Patel,Dhruv Jurel,0,1,1,,1.0,Delhi Capitals,K Kelkar,R Parag,struck down,wicket,,,,,,,,,,,97
Rajasthan Royals,8,5,0.1,5.7,mandatory,Dhruv Jurel,AR Patel,R Parag,1,0,1,,,,,,,,,,,,,,,,,,98
Rajasthan Royals,8,6,0.1,5.7,mandatory,R Parag,AR Patel,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,98
Rajasthan Royals,9,1,0.1,5.7,mandatory,Dhruv Jurel,M Tiwari,R Parag,0,0,0,,,,,,,,,,,,,,,,,,98
Rajasthan Royals,9,2,0.1,5.7,mandatory,Dhruv Jurel,M Tiwari,R Parag,2,0,2,,,,,,,,,,,,,,,,,,100
Rajasthan Royals,9,3,0.1,5.7,mandatory,Dhruv Jurel,M Tiwari,R Parag,0,0,0,,,,,,,,,,,,,,,,,,100
Rajasthan Royals,9,4,0.1,5.7,mandatory,Dhruv Jurel,M Tiwari,R Parag,1,0,1,,,,,,,,,,,,,,,,,,101
Rajasthan Royals,9,5,0.1,5.7,mandatory,R Parag,M Tiwari,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,101
Rajasthan Royals,9,6,0.1,5.7,mandatory,R Parag,M Tiwari,Dhruv Jurel,0,1,1,1.0,,,,,,,,,,,,,,,,,102
Rajasthan Royals,9,7,0.1,5.7,mandatory,R Parag,M Tiwari,Dhruv Jurel,0,1,1,1.0,,,,,,,,,,,,,,,,,103
Rajasthan Royals,9,8,0.1,5.7,mandatory,R Parag,M Tiwari,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,104
Rajasthan Royals,10,1,0.1,5.7,mandatory,R Parag,AR Patel,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,,110
Rajasthan Royals,10,2,0.1,5.7,mandatory,R Parag,AR Patel,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,110
Rajasthan Royals,10,3,0.1,5.7,mandatory,R Parag,AR Patel,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,,116
Rajasthan Royals,10,4,0.1,5.7,mandatory,R Parag,AR Patel,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,117
