team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Gujarat Titans,4,1,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,45
Gujarat Titans,4,2,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,45
Gujarat Titans,4,3,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,45
Gujarat Titans,4,4,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,46
Gujarat Titans,4,5,0.1,5.6,mandatory,Shubman Gill,Gurjapneet Singh,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,47
Gujarat Titans,4,6,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,48
Gujarat Titans,5,1,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,52
Gujarat Titans,5,2,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,53
Gujarat Titans,5,3,0.1,5.6,mandatory,Shubman Gill,A Kamboj,B Sai Sudharsan,6,0,6,,,,,,,,,,,,,,,,,,59
Gujarat Titans,5,4,0.1,5.6,mandatory,Shubman Gill,A Kamboj,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,60
Gujarat Titans,5,5,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,Shubman Gill,0,1,1,,1.0,,,,,,,,,,,,,,,,61
Gujarat Titans,5,6,0.1,5.6,mandatory,Shubman Gill,A Kamboj,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,62
Gujarat Titans,6,1,0.1,5.6,mandatory,Shubman Gill,Noor Ahmad,B Sai Sudharsan,6,0,6,,,,,,,,,,,,,,,,,,68
Gujarat Titans,6,2,0.1,5.6,mandatory,Shubman Gill,Noor Ahmad,B Sai Sudharsan,2,0,2,,,,,,,,,,,,,,,,,,70
Gujarat Titans,6,3,0.1,5.6,mandatory,Shubman Gill,Noor Ahmad,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,71
Gujarat Titans,6,4,0.1,5.6,mandatory,B Sai Sudharsan,Noor Ahmad,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,72
Gujarat Titans,6,5,0.1,5.6,mandatory,Shubman Gill,Noor Ahmad,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,72
Gujarat Titans,6,6,0.1,5.6,mandatory,Shubman Gill,Noor Ahmad,B Sai Sudharsan,6,0,6,,,,,,,,,,,,,,,,,,78
Gujarat Titans,7,1,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,79
Gujarat Titans,7,2,0.1,5.6,mandatory,Shubman Gill,Gurjapneet Singh,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,79
Gujarat Titans,7,3,0.1,5.6,mandatory,Shubman Gill,Gurjapneet Singh,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,80
